rank	username	minecraft:crafted/minecraft:soul_lantern
1	pintsizedrogue	4668
2	noam464	2076
3	gcaisawesome	1951
4	beeperbeeper5	970
5	mihimihimihi	537
6	CattSoup	510
7	mwrty	473
8	AdmiralSmoke	343
9	r123moore	270
10	thewindmillman	265
11	T045RTY	256
11	Ezekson	256
13	Marbz_	247
14	TheSecondLord	229
14	Akoot_	229
16	eitanzaki	219
17	Hoid_the_Roamer	192
18	Historical_Sand	171
19	luseis	156
19	ConnorDanky_	156
21	rarrq	154
22	Legendosh	129
23	Kakolbus	128
23	Billious	128
23	Enderxz3	128
26	TheShyPig	110
27	SpacesickPrism	108
28	Eraxa	95
29	RebelAndroid	84
30	Blackberry1310	82
31	_Dean_123	80
32	RoskobiOne	75
33	MrExplorer	74
34	Apollo_993	73
35	Cowison	72
35	Fullut	72
37	kekhon	70
38	teslawolf38	67
39	Mahoose	66
40	UncreativeArtist	64
40	Touched_Bread	64
40	HolyVenom	64
40	HellsSponge	64
44	Kowcio_	63
45	pixelviolin	52
46	MineMaster0012	40
47	_Boipl_	39
48	Huwulling	36
49	Manaateee	35
50	livingdaydreams	34
50	Lord_Jord	34
50	xolstoi	34
53	seramalen	25
54	SmashingPump	24
55	ZeroKraken	22
56	Jonafrog99	21
57	FishyBoy3811	17
58	Druid95	16
59	gustarlep	15
59	MAns_44	15
61	Ryker	12
61	Soplight	12
63	Mattesco	11
64	2blox_	10
65	MuffinManzz	8
65	12Magner05	8
65	CarltheCuck	8
65	Chromary	8
69	jacxhadow	7
69	00000000-0000-0000-0009-01ff0c3e5e4f	7
71	xxPipperDipperxx	6
72	_Huge_Male_	5
73	k_ce	4
73	nattybears	4
73	ShedJr_	4
73	SquadMonster	4
73	eclipseboi	4
73	YungMaki	4
73	SammiWolfGirl	4
73	PlasticOtari	4
81	Kubeusz2010	3
82	titanlax	2
82	Arceus1975	2
82	Moofyman	2
82	CalebDHawk	2
82	Hermanni__	2
87	hanaryheatwave	1
