rank	username	minecraft:crafted/minecraft:diorite
1	Kowcio_	6720
2	PazinGaming	3456
3	thewindmillman	3022
4	xxPipperDipperxx	1432
5	Lez_	1344
6	Fuad_R	626
7	SvenskaHugo	84
8	lorywithay	64
