rank	username	minecraft:crafted/minecraft:golden_chestplate
1	Hyp3rion_	53
2	thewindmillman	21
3	Jackattack53	20
3	TheShyPig	20
5	TheSecondLord	17
6	Di_infiri	10
7	TechnoNinja64	9
8	LeauVox4921	8
9	Fullut	7
10	Blackberry1310	6
11	Zaridey	5
11	Jiminie	5
13	Mahoose	4
13	SuperPooch06	4
13	HellsSponge	4
13	monky_irl	4
17	teslawolf38	3
17	Inchef	3
17	Akoot_	3
17	wezzzi	3
17	Katsuragi0243218	3
17	Deathkob	3
17	C0oOK13M0N5T3R	3
17	Racengan	3
17	SammiWolfGirl	3
17	KingMatthew506	3
17	Ezekson	3
28	Merv__	2
28	AlazelTheReal	2
28	beeperbeeper5	2
28	bloodbiter	2
28	MinttyFressh	2
28	500am	2
28	Karetoko	2
28	ApophisNova	2
28	ooga47	2
28	GravitySaint	2
28	Segotep999	2
28	Luigipunch989	2
28	Poppy235	2
28	Njensen7	2
28	laron58	2
28	EcksD	2
28	MyNamaSheff	2
28	Enderslayerxz3	2
28	MelodyGaysharks	2
47	Groovy_MoonBird	1
47	Tobinator_007	1
47	RoskobiOne	1
47	Dedalus36	1
47	ImpavidArcher	1
47	BlancoFlaco	1
47	SaucyDark	1
47	TooManyDuck	1
47	Incinere	1
47	T045RTY	1
47	H72l9w	1
47	Whiterooster001	1
47	Vizzoid	1
47	Ozixar	1
47	picardred	1
47	ratglock	1
47	Ardennes	1
47	wiqor	1
47	BilboBaggins23	1
47	Scathra	1
47	thescout7	1
47	PegLegPete93	1
47	eviltunix	1
47	r123moore	1
47	Paintz	1
47	Matek_	1
47	platinumzero	1
47	Windo_licker	1
47	gabriels543	1
47	whoaluv	1
47	Zythose	1
47	burbankbuilder28	1
47	Werbe	1
47	selectrix	1
47	wrinkledpiglet	1
47	PigDab	1
47	TeenMomTom	1
47	YahooScreen9000	1
47	sxc_	1
47	Nicky19	1
47	420BreadLizard	1
47	Gab4101	1
47	ebanana	1
47	NameGenerat0r	1
47	MangoSalad316	1
47	FlashMigma	1
47	SwooshBoi	1
47	Xclax101	1
47	560cool	1
47	Fildyr	1
47	Spacewardharpy7	1
47	lordpipe	1
47	Dusk_95	1
47	Nagasaki_Riku	1
47	Kowcio_	1
47	djancak	1
47	Soplight	1
47	stellarjay	1
47	GlitchyPlate810	1
47	CoryJJ	1
47	Nargotah	1
47	Kferno	1
47	MilleGrug	1
47	oxfordschool	1
47	Lowjinx	1
47	Kiki_Majiki	1
47	YoshikageBites	1
47	EcksDofficial	1
47	JayToe	1
47	Smoke____	1
47	WinterYoke	1
47	diggydog67	1
47	00000000-0000-0000-0009-01fbab7ea71d	1
