rank	username	minecraft:crafted/minecraft:shulker_box
1	Hyp3rion_	71061
2	thewindmillman	34342
3	noam464	24643
4	EcksD	12651
5	joethahobo	3469
6	hanaryheatwave	3430
6	Spacewardharpy7	3430
8	mihimihimihi	2497
9	Jackattack53	2216
10	Lez_	1967
11	Di_infiri	1542
12	PigDab	1509
13	AdmiralSmoke	1283
14	YungMaki	1015
15	pintsizedrogue	945
16	Spenduh	906
17	EMC_	719
18	beeperbeeper5	674
19	Manaateee	656
20	xzvu	598
21	luseis	585
22	HyperCave	548
23	PlasticOtari	475
24	eitanzaki	460
25	Smashic	424
26	jnp_gaming	421
27	Historical_Sand	387
28	500am	359
29	_Mythic____	356
30	SpacesickPrism	338
31	Marbz_	331
32	Fullut	259
33	LeEricc	254
34	Mattesco	253
35	Enderxz3	250
36	Racengan	249
36	non089	249
38	Creativebuilder2	243
39	lordpipe	235
40	Alteriity	220
40	Kowcio_	220
42	Awyrlas	218
43	6king6colt6	211
44	TheSecondLord	209
45	FishisTTV	203
46	Comma__	190
47	Covalents	174
48	Skylord_Luke	166
49	yulgur1	165
50	gcaisawesome	163
51	catandmoose	159
52	Segotep999	154
53	Hisiste	151
54	Shogunite	135
55	MattieHD	132
56	Frozil20	131
57	pixelviolin	128
58	Steelynan	125
59	Jimb0nat0r	122
60	PazinGaming	121
60	fw3xy74	121
62	Blackberry1310	119
63	mwrty	118
64	NameGenerat0r	117
65	lillips	115
66	HellsSponge	113
67	thescout7	110
68	Mewar	104
69	MinttyFressh	102
70	fluddd	101
70	Blaiku	101
70	SvenskaHugo	101
73	HolyVenom	96
73	Steve897	96
73	lcvezra	96
73	ZeroKraken	96
77	tsitrawhy	94
78	MightyWertu	92
78	vandmanden	92
80	Sral7	87
81	Bumpy419	86
81	audiocracked	86
83	surfinggiraffejp	85
83	Fuad_R	85
85	Lord_Jord	84
85	Ezekson	84
87	Huwulling	83
87	ROY4LE	83
89	Hermanni__	79
90	oscminus	78
90	claivin	78
92	Maenara	77
93	Werbe	76
93	KartivGal	76
93	Groundler	76
96	Snowflowe	74
97	kekhon	73
98	FreakGenius	71
99	Jimi7hits	70
100	k_ce	64
100	chrolus	64
100	xPixelRainx	64
100	12Magner05	64
100	corvidpartyfor6	64
100	SlayerCrypto	64
100	Krowuss	64
100	Inbefour	64
100	Deathkob	64
100	Lutres_	64
110	Z3braYTIL	62
110	lizardfightclub	62
110	Nicserso	62
113	Apollo_993	61
114	Kakolbus	59
114	501g	59
116	IdeallyGrey	58
116	Winston_Ingram	58
116	tartanboy	58
119	ECstardust	57
120	yheece	56
121	H0UNDFRMH3LL	55
122	ItsDeltaMC	53
123	Yatitay	52
124	LeonelSalamanca	51
124	_i_ERROR_i_	51
124	Iamthejo	51
127	Blu3beast	49
128	Iagoku	48
128	fade_emerge78823	48
128	Inchef	48
128	FishyBoy3811	48
132	CollinMH06	47
132	Xclax101	47
134	diamondgolem35	46
134	Deodorante	46
136	Auseawesome	45
136	eiC_	45
138	_lildarki3	44
138	MAns_44	44
140	Groovy_MoonBird	43
140	RebelAndroid	43
140	Da_Boss_Rani	43
140	xxPipperDipperxx	43
140	Rasmanden	43
145	Dogcorn69420	42
146	Mr_Byzantine	40
146	PhantomsGhost_	40
146	masskedman	40
146	EveryonesUncle	40
146	Eczbek	40
151	groofles	39
152	Bandito_Roamer	38
152	Eraxa	38
152	Quotary	38
155	wezzzi	37
156	iSammael	36
157	excelsionprime	35
158	SvenskaAlvar	34
159	Shiirazu	33
159	SkinnyBois	33
161	AuroraValkyrie	32
161	jessewegottacook	32
161	MrKrabOnCoke	32
161	4774	32
161	LeauVox4921	32
161	Touched_Bread	32
161	prizm_	32
161	Winklepicker279	32
161	BronkerBrum	32
161	p4lp	32
161	zToasty69z	32
161	GooseWithin	32
161	jcool7	32
161	MilleGrug	32
161	EngagedGrub41	32
176	Mahoose	31
177	SmashingPump	30
178	NoHaHeHa	29
178	Noah_Bez	29
178	Jonafrog99	29
178	SingedBread	29
178	SammiWolfGirl	29
183	Ailmast	28
184	nattybears	27
184	Nycteus_	27
184	MakeHistory157	27
184	Kura2218	27
188	Rich_Kat	26
188	poopybh	26
188	TheSeismicDuck	26
188	_TCARREIRA_	26
192	RoskobiOne	25
192	Myszoaz	25
192	ITDV	25
192	SellyZ	25
192	Eczbox	25
192	F_Uhre	25
192	MustaLoordi	25
192	__tomato	25
200	jushykins	24
200	MyNameIsJobo	24
200	Hoid_the_Roamer	24
203	T045RTY	23
203	FirsTimeGamingTV	23
205	Zythose	22
205	weabis	22
205	Kekoo	22
205	fffMike	22
205	AltnumberF4	22
210	Lepthymo	21
210	MoistMicrowave	21
210	rarrq	21
210	noful	21
210	Ecplosive	21
210	TheShyPig	21
216	ssleepless	20
216	TooManyDuck	20
216	Zaridey	20
216	ApophisNova	20
216	infiniteQuery	20
216	MyNamaSheff	20
222	set67	19
222	Rebytre	19
222	Onennon	19
222	LexMakesHistory	19
