rank	username	minecraft:crafted/minecraft:yellow_wool
1	Skylord_Luke	739
2	ROY4LE	543
3	Myntsys	419
4	IWorkAtIkea	380
5	WyngGoy	352
6	Di_infiri	297
7	Ezekson	210
8	EveryonesUncle	182
9	Frozil20	147
10	PeteO1995	140
11	Werbe	136
11	Kowcio_	136
13	NotMeanttoChange	128
14	NameGenerat0r	127
15	TheSecondLord	126
16	Kakolbus	125
17	Groovy_MoonBird	95
18	beeperbeeper5	87
19	pintsizedrogue	82
19	Lez_	82
21	Blaiku	78
21	stavgod	78
23	T045RTY	64
23	luseis	64
23	Njensen7	64
23	Sral7	64
27	Legendosh	57
28	starbits140	54
29	thewindmillman	47
30	Mr_Byzantine	41
30	ConnorDanky_	41
32	Froste131	39
33	SSytex_X	35
34	olliebollie48	33
35	_i_ERROR_i_	32
35	ZoomieZoomie	32
37	El_Jalapeno	29
38	Blasterboy54	27
39	Manaateee	26
40	TheWickedBird	24
41	Inbefour	22
41	Quotary	22
41	Nicserso	22
44	Merv__	21
44	MAns_44	21
46	Smashic	20
47	Historical_Sand	18
47	LilLizardWizard	18
47	pretty_pink_reno	18
47	StarCookiees_	18
51	shineh10	17
51	kekhon	17
51	burbankbuilder28	17
51	TheEnderMan548	17
55	MattieHD	16
55	FreakGenius	16
57	Skippeh	14
58	Tommhh	13
59	_Dean_123	12
59	Snowflowe	12
59	sufjanlover	12
59	Nekomin0	12
63	LetsDoItLive	11
63	The_SlideV5	11
65	Akoot_	10
66	Skomo	9
66	Typadopoulos	9
66	blimpeey	9
66	Jimb0nat0r	9
70	skroobiez	8
70	NomadicRobin_	8
70	Blu3beast	8
70	fluddd	8
74	ogoa	7
74	PlasticOtari	7
76	Mowelan	6
76	Sleek_Storm_721	6
76	RatatJuice	6
76	m_be9	6
76	12Magner05	6
76	Ecplosive	6
76	whoaluv	6
76	Arceus1975	6
76	KeruNatsema	6
76	Spacewardharpy7	6
86	Megarboh	5
86	SUSUGAM	5
86	AJplaysMC_	5
86	ewpunk	5
90	SmashingPump	4
90	roxycherry	4
90	BilboBaggins23	4
90	Scathra	4
90	SvenskaSara	4
90	mihimihimihi	4
96	Jalvajar	3
96	Dblikstad	3
96	QuiCreans	3
96	Papudron	3
96	_HoneySlime_	3
96	Scattman_	3
96	wiqor	3
96	Awyrlas	3
96	yheece	3
96	oscminus	3
96	Benjii05	3
96	claivin	3
96	ReflexCode	3
96	Barlycorn	3
96	LordSpeed37	3
96	pixelviolin	3
96	Pumpkin_P_Patch	3
96	Dogcorn69420	3
114	Bandito_Roamer	2
114	dabloons	2
114	theonlymagikarp	2
114	Bumpy419	2
118	dudcreeper	1
118	Alteriity	1
118	Mahoose	1
118	Robby_Cream	1
118	imcombxt	1
118	Hyp3rion_	1
118	Chuvacevedo	1
118	Mattesco	1
118	Invintic	1
