rank	username	minecraft:crafted/minecraft:red_nether_brick_wall
1	thewindmillman	882
2	himak1	67
3	k_ce	60
4	Legendosh	57
5	FreakGenius	41
6	PigDab	30
7	JitteryJared2	24
7	master9067	24
9	beeperbeeper5	6
9	RoofTyler	6
11	pintsizedrogue	4
12	Zythose	2
