rank	username	minecraft:crafted/minecraft:mossy_cobblestone
1	EMC_	5659
2	wezzzi	2569
3	EveryonesUncle	2049
4	pintsizedrogue	1022
5	500am	713
6	beeperbeeper5	690
7	layabout100	567
8	Shogunite	512
9	Sral7	437
10	Onennon	381
11	impossibleteapot	285
12	Inchef	278
13	Frozil12	260
14	Euclidoris	256
15	thescout7	242
16	TechnoNinja64	241
17	TheShyPig	210
18	Jiminie	202
19	Smoke____	201
20	Eraxa	199
21	Legendosh	197
22	Notta	192
23	Blackberry1310	170
24	TheSecondLord	164
25	thewindmillman	139
26	soundad	128
26	The_Quack_Dealer	128
28	Malorn_Aetherius	113
29	Merv__	105
30	Batoser	102
31	Bandito_Roamer	98
32	AlexStrange	97
33	DemTechAlpha	91
34	PegLegPete93	89
35	Cryptacity	83
36	Xclax101	76
36	PlasticOtari	76
38	Houstonion	75
39	Mahoose	71
40	Historical_Sand	65
41	ProfessorBee	64
41	Kakolbus	64
41	Bumpy419	64
41	Skylord_Luke	64
41	ApophisNova	64
41	07shiny	64
41	MyNamaSheff	64
48	annoyingenderman	61
49	bloodbiter	56
50	burbankbuilder28	55
51	Fullut	50
52	Tommhh	48
52	ogoa	48
54	rachcl	47
55	whoaluv	46
56	teslawolf38	45
57	_Bguette_	43
58	BilboBaggins23	36
59	killmeiamtraitor	34
60	Barlycorn	33
60	Soplight	33
62	HellsSponge	32
63	SuperPooch06	30
63	oxfordschool	30
65	BlueZabu	27
66	sebastiensaborio	24
67	Kowcio_	23
67	MineMaster0012	23
69	hollowww	22
69	ShedJr_	22
69	M_Patata	22
69	MasterNueve	22
69	Hermanni__	22
74	actuallysadie	20
75	Stynxy	16
76	CarbonatedCola	13
77	yulgur1	12
78	xxPipperDipperxx	11
78	kinas45y5	11
80	PhantomsGhost_	8
81	obzii	7
82	Enderslayerxz3	6
83	Optiprimus	5
83	EtherealEspresso	5
83	SammiWolfGirl	5
83	KingMatthew506	5
87	Deathkob	3
87	Razzgriz	3
89	Xalithia	1
89	godipose	1
89	Hylo482y	1
