rank	username	minecraft:crafted/minecraft:light_blue_shulker_box
1	thewindmillman	84
2	Lez_	64
3	pintsizedrogue	54
4	Hyp3rion_	50
5	jnp_gaming	35
6	mwrty	29
7	Huwulling	22
8	TheSecondLord	18
8	NameGenerat0r	18
10	HellsSponge	15
10	PlasticOtari	15
12	lordpipe	12
12	ConnorDanky_	12
14	500am	11
14	Ezekson	11
16	Enderxz3	9
17	luseis	8
18	RoskobiOne	7
18	Fullut	7
18	Snowflowe	7
21	gusstationwerker	6
22	Mahoose	5
22	joethahobo	5
22	Marbz_	5
22	Jackattack53	5
22	masskedman	5
22	lcvezra	5
28	MattieHD	4
28	Awyrlas	4
28	Chromary	4
28	Bumpy419	4
28	groofles	4
28	Maenara	4
28	Akoot_	4
28	wezzzi	4
28	Eraxa	4
28	Kowcio_	4
38	beeperbeeper5	3
38	rarrq	3
38	kekhon	3
38	xxPipperDipperxx	3
38	noam464	3
38	Zaridey	3
38	Deathkob	3
38	lillips	3
38	fluddd	3
38	Spacewardharpy7	3
38	sp00ky_ghost977	3
38	YungMaki	3
38	__tomato	3
38	PortlyPete69	3
38	Smoke____	3
53	Merv__	2
53	ssleepless	2
53	m_be9	2
53	12Magner05	2
53	SoftSix	2
53	corvidpartyfor6	2
53	set67	2
53	Inchef	2
53	r123moore	2
53	Werbe	2
53	KartivGal	2
53	TheShyPig	2
53	FishyBoy3811	2
53	ZA07	2
53	audiocracked	2
53	Tyrannosplart	2
53	Blu3beast	2
53	MightyWertu	2
53	Blaiku	2
53	SingedBread	2
53	pixelviolin	2
53	xzvu	2
53	Njensen7	2
53	CattSoup	2
53	diggydog67	2
53	00000000-0000-0000-0009-01ff0c3e5e4f	2
79	Groovy_MoonBird	1
79	Bandito_Roamer	1
79	FazeObama69	1
79	PhantomsGhost_	1
79	dabloons	1
79	SmashingPump	1
79	6king6colt6	1
79	Houstonion	1
79	diamondgolem35	1
79	ExtraDumb	1
79	ImpavidArcher	1
79	SaucyDark	1
79	RebelAndroid	1
79	eitanzaki	1
79	livingdaydreams	1
79	TAKrules	1
79	CoffeeNoir	1
79	ThiccExotic	1
79	MOSS000	1
79	Myszoaz	1
79	SpaceGrenadier	1
79	ITDV	1
79	H72l9w	1
79	oreee	1
79	titanlax	1
79	Blackberry1310	1
79	jushykins	1
79	MinttyFressh	1
79	Megarboh	1
79	shyshyannne	1
79	TheDiamondCG	1
79	fade_emerge78823	1
79	emrekn	1
79	Xalithia	1
79	NotKaden_	1
79	Ecplosive	1
79	CollinMH06	1
79	SuperPooch06	1
79	Rumpletaezer	1
79	Arceus1975	1
79	Zythose	1
79	burbankbuilder28	1
79	King_Pancake1	1
79	Donutt	1
79	Kouridragon	1
79	cedric72	1
79	Luminad3	1
79	IamCL4SSY	1
79	TheTrueClipse	1
79	TheSeismicDuck	1
79	EveryonesUncle	1
79	Deodorante	1
79	RoofTyler	1
79	_Karmaa	1
79	claivin	1
79	QueenShuvi	1
79	censorsheep	1
79	Xclax101	1
79	Groundler	1
79	OffWithTheirHead	1
79	Hisiste	1
79	MovingFish7	1
79	iSammael	1
79	WyngGoy	1
79	OG_Songsee	1
79	Razzgriz	1
79	SexcMf	1
79	TheEnderMan548	1
79	Mythic1130	1
79	07shiny	1
79	Jij0	1
79	djancak	1
79	stellarjay	1
79	_TCARREIRA_	1
79	Dogcorn69420	1
79	Dreamdbr14	1
79	Steelynan	1
79	Iamthejo	1
79	EcksD	1
79	RadarHz	1
79	Nicserso	1
79	FelixPSY375	1
79	little_dUki	1
79	Jimb0nat0r	1
79	Sral7	1
