rank	username	minecraft:crafted/minecraft:repeater
1	noam464	23446
2	Di_infiri	4753
3	thewindmillman	4465
4	Hyp3rion_	3660
5	Spacewardharpy7	3017
6	eitanzaki	2431
7	Nicserso	1679
8	Smoke____	1199
9	Awyrlas	1155
10	beeperbeeper5	1118
11	HellsSponge	1086
12	Jackattack53	1006
13	Frozil12	785
14	ImpavidArcher	776
15	TheShyPig	719
16	m_be9	672
17	Akoot_	650
18	WyngGoy	577
19	Shogunite	576
20	EcksD	573
21	PigDab	571
22	Eczbek	531
23	Blaiku	470
24	thescout7	382
25	Marbz_	379
26	Soplight	304
27	YungMaki	301
28	kinas45y5	296
29	StinkyDiplomat	274
30	Hoid_the_Roamer	272
30	Bumpy419	272
32	joethahobo	267
33	PhantomsGhost_	266
34	_Nuf	265
35	ProfessorBee	263
36	Enderslayerxz3	260
37	Inbefour	251
38	oxfordschool	238
39	Cocoamallows	233
40	Groundler	232
40	PlasticOtari	232
42	Historical_Sand	211
43	Mewar	208
44	eiC_	206
45	r123moore	196
46	Factoroni	195
47	12Magner05	192
48	MilleGrug	175
49	Zythose	173
50	El_Jalapeno	168
51	Snowflowe	167
52	Blu3beast	166
53	pintsizedrogue	160
54	mwrty	153
55	ssleepless	151
55	07shiny	151
57	TechnoNinja64	150
58	Onennon	149
59	Xclax101	145
60	andy_rex	144
61	MangoTheFish	141
62	AuroraValkyrie	138
63	Hermanni__	136
64	Hisiste	130
64	obzii	130
66	GoofyBread	128
66	lordpipe	128
66	sp00ky_ghost977	128
69	Arceus1975	123
69	silverpopcorn	123
71	fffMike	121
72	NameGenerat0r	116
73	Covalents	112
74	tobinwilliams	111
74	Winston_Ingram	111
76	Werbe	109
77	RebelAndroid	107
77	MyNameIsJobo	107
77	Vorlice	107
80	MightyWertu	106
81	Steelynan	105
82	Rumpletaezer	102
83	Skylord_Luke	94
84	Kakolbus	93
85	Barlycorn	90
86	Solar_Power	88
87	domagawha	87
88	Ezekson	86
89	Fuad_R	85
90	CrateOfBoxes	80
90	Freak_Genius	80
92	fluddd	77
93	BlueZabu	76
94	T045RTY	75
94	Jimi7hits	75
94	Lord_Jord	75
97	__tomato	74
98	Swexti	73
98	Legendosh	73
100	Blackberry1310	72
100	FreddyFart	72
100	Darkgon	72
103	500am	71
104	egglapras	68
104	alderban107	68
106	gcaisawesome	67
107	Iagoku	66
108	BronkerBrum	64
108	Hiryu27	64
108	cedric72	64
108	TheSeismicDuck	64
108	DTwenty	64
108	NoChumpChange	64
108	pixelviolin	64
108	Dogcorn69420	64
116	TheThomas69	63
116	Fullut	63
116	xxPipperDipperxx	63
116	vandmanden	63
120	Skippeh	54
121	corvidpartyfor6	52
121	ApophisNova	52
121	GravitySaint	52
121	Warlord324	52
121	MyNamaSheff	52
126	benediktine1	51
127	gabriels543	50
128	Ssor69	49
128	_Bguette_	49
130	EMC_	47
130	Deathkob	47
132	prizm_	46
133	q_wq	45
133	awesomeoneme	45
133	DanTheBuilderino	45
133	Quotary	45
137	Scathra	44
137	Kyrum2169	44
139	ExtraDumb	42
139	picardred	42
139	mariominejedi	42
142	Stynxy	40
142	jnp_gaming	40
144	Sheldor097	39
145	eviltunix	37
145	SlayerCrypto	37
145	Racengan	37
145	lcvezra	37
145	HesDemonPants	37
150	masskedman	36
150	Quaintster	36
150	yatsuta	36
150	Dreamdbr14	36
154	tuckerdoodle	35
154	MattieHD	35
154	Chromary	35
157	Mahoose	34
157	PortlyPete69	34
159	Jovaphobic	33
159	TheTrueClipse	33
159	Syropatathe	33
159	Spenduh	33
163	diamondgolem35	32
163	Touched_Bread	32
163	Jij0	32
166	ayqq	31
166	groofles	31
168	Alteriity	30
168	Paintz	30
168	fw3xywashere	30
171	rarrq	29
172	M_Patata	28
172	Kouridragon	28
172	parodypatient	28
172	MasterNueve	28
172	BlankityMcBlank	28
177	bigstankyy	26
177	jiggywraps	26
177	MinttyFressh	26
177	CollinMH06	26
177	Sky_light_KING	26
177	SexcMf	26
177	Kijiki	26
184	Winklepicker279	25
184	RobotMinion101	25
184	wwwwinnebagoooo	25
184	_TCARREIRA_	25
188	Crowvens	24
188	Merv__	24
188	Ailmast	24
188	Vizzoid	24
188	Comma__	24
188	groggregg42	24
188	_8man	24
188	Fildyr	24
196	Rich_Kat	23
196	mihimihimihi	23
198	kekhon	22
198	Inchef	22
198	starbits140	22
201	Tobinator_007	21
201	youhjjhhhjj	21
201	PlzNoBM	21
201	jcool7	21
205	HolyVenom	20
205	Leyna3	20
207	bloodbiter	19
207	Powowowow	19
209	Jackster03	18
209	SSytex_X	18
211	TheDumbHuman	17
211	Rainaldus	17
213	Malorn_Aetherius	16
213	slkiey	16
213	KGTV	16
213	The_slideV3	16
213	voiding_	16
213	ZeroKraken	16
213	anbbang	16
213	AltnumberF4	16
221	NieToksikpl	15
221	ese_wn_po	15
221	Karbl	15
221	Lord_Doob	15
225	Zedducius	14
225	SellyZ	14
225	Soap_Bender	14
225	Zoeyfortnite	14
229	soundad	13
229	heckface	13
229	_Dean_123	13
229	Nyxiom_	13
229	audiocracked	13
229	claivin	13
229	Conrad139	13
236	Groovy_MoonBird	12
236	Dedalus36	12
236	Prismyst	12
236	SquadMonster	12
236	valkam13	12
236	_czarny	12
236	stavgod	12
236	Kferno	12
244	Smashic	11
244	set67	11
244	NotMeanttoChange	11
244	loveseeker	11
244	seramalen	11
244	Forcolp	11
244	_naturell	11
244	Moetis	11
244	Sral7	11
253	heysushii	10
253	Prodiginus	10
253	CruncyIsTaken	10
253	Maenara	10
253	JESS_THE_RERE	10
253	IdeallyGrey	10
253	Kowcio_	10
253	VentiHilton	10
253	tartanboy	10
262	ivorico	9
262	Z3braYTIL	9
262	SharpDev	9
262	CharlieButt	9
262	lizardfightclub	9
262	HeyGoat	9
268	ewsophie	8
268	CoffeeNoir	8
268	FirsTimeGamingTV	8
268	emrekn	8
268	JitteryJared2	8
268	Aangezet	8
268	rotten_mango	8
268	Quincannon	8
268	BumbleBeever	8
268	LordSpeed37	8
268	non089	8
268	EcksDofficial	8
280	Kirrow	7
280	TheSecondLord	7
280	jacxhadow	7
280	Purplehere	7
280	AnnieBathory	7
280	Drewen24	7
280	Fuhrer_Teemo	7
280	KlausVonStiglitz	7
280	Dusk_95	7
280	SvenskaHugo	7
290	Houstonion	6
290	zorin123	6
290	himak1	6
290	Rasmanden	6
290	avalan64	6
290	ayamefag	6
290	MineMaster0012	6
290	Luigipunch989	6
290	h2p_emrld	6
299	Sleek_Storm_721	5
299	Kegradigm	5
