rank	username	minecraft:crafted/minecraft:crimson_stairs
1	beeperbeeper5	3024
2	Awyrlas	1024
3	kyouma777	436
4	Skylord_Luke	400
5	Lord_Jord	380
6	Steelynan	276
7	Mahoose	260
8	_Razaria	248
9	rarrq	200
9	Legendosh	200
11	thewindmillman	192
12	ShedJr_	160
12	Smoke____	160
14	Marbz_	132
15	himak1	80
15	SvenskaHugo	80
17	EveryonesUncle	64
18	12Magner05	60
19	livingdaydreams	56
19	Jonafrog99	56
21	eitanzaki	52
22	TheDankPlatypus	48
23	YungMaki	44
24	Billious	40
24	Syropatathe	40
26	Touched_Bread	36
26	Snowflowe	36
26	mihimihimihi	36
29	Optiprimus	32
30	Werbe	28
31	Mr_Byzantine	24
31	joethahobo	24
31	r123moore	24
31	breadbowlgamer	24
31	luseis	24
31	weabis	24
37	Lez_	20
37	Kowcio_	20
37	Luigipunch989	20
40	KarlKaek	16
40	kekhon	16
40	0Vyp_	16
40	Rebytre	16
44	HellsSponge	14
45	Ev0luti0nz	12
45	set67	12
47	soundad	8
47	RebelAndroid	8
47	Blackberry1310	8
47	TheSecondLord	8
47	fReE_bAtWiNg	8
47	FreakGenius	8
47	KingMatthew506	8
47	PlasticOtari	8
55	pintsizedrogue	4
55	diamondgolem35	4
55	Wooptey	4
55	BobDeBouwer1337	4
55	MyNameIsDakar	4
55	Soplight	4
55	BiggieDawg	4
