rank	username	minecraft:crafted/minecraft:acacia_wood
1	beeperbeeper5	2487
2	AdmiralSmoke	786
3	PazinGaming	624
4	Legendosh	591
5	luseis	537
6	Manaateee	282
7	Megarboh	240
8	icim	192
9	Mahoose	189
10	Mr_Byzantine	165
11	noam464	159
12	SkinnyBois	144
13	Kowcio_	138
14	Jackattack53	114
15	Onennon	96
16	stellarjay	87
17	ImpavidArcher	81
18	Elastiq	78
19	TheSecondLord	72
19	Nicserso	72
21	hanaryheatwave	57
22	_Huge_Male_	54
23	Frozil20	42
24	Di_infiri	30
24	MineMaster0012	30
24	ConnorDanky_	30
27	SuperPooch06	27
28	jushykins	24
28	StarCookiees_	24
30	Winklepicker279	21
31	jessewegottacook	15
32	Hiryu27	12
32	Werbe	12
32	TheALV	12
35	Groovy_MoonBird	9
35	AgressiveEggdog	9
35	AnnieBathory	9
35	Spacewardharpy7	9
39	Apollo_993	6
39	xXTheWolfmanXx	6
39	MyNameIsJobo	6
39	TJawesome09	6
39	Groundler	6
39	pixelviolin	6
45	Merv__	3
45	joethahobo	3
45	Scathra	3
45	r123moore	3
45	M_Patata	3
45	_Bguette_	3
45	HellsSponge	3
45	MasterNueve	3
45	OPTOMA_KING	3
45	Slapface522	3
