rank	username	minecraft:crafted/minecraft:raiser_armor_trim_smithing_template
1	Mattesco	80
2	beeperbeeper5	12
2	MattieHD	12
4	Alteriity	10
5	Enderxz3	8
6	Mr_Byzantine	4
6	hanaryheatwave	4
6	Soplight	4
9	CLG_Kata	2
9	Apollo_993	2
9	Secret_Canary	2
9	Hyp3rion_	2
9	StarCookiees_	2
9	Jimb0nat0r	2
