rank	username	minecraft:crafted/minecraft:blue_ice
1	gcaisawesome	9141
2	EcksD	6996
3	Eraxa	6406
4	mihimihimihi	3694
5	beeperbeeper5	2841
6	joethahobo	2042
7	m_be9	1761
8	Spacewardharpy7	1655
9	Blaiku	1384
10	Ezekson	1372
11	HellsSponge	1338
12	Groundler	1059
13	RealGroot	972
14	layabout100	886
15	Hisiste	807
16	YungMaki	650
17	diggydog67	644
18	obzii	599
19	TheShyPig	534
20	MyNameIsJobo	521
21	CrateOfBoxes	495
22	censorsheep	485
23	Kowcio_	484
24	luseis	417
25	Frozil20	412
26	pintsizedrogue	400
27	ssleepless	367
28	Mattesco	355
29	Snowflowe	352
30	Historical_Sand	306
31	TheSecondLord	294
32	handsome_strong	263
33	lordpipe	262
34	GoofySilly	257
35	mwrty	256
36	BlancoFlaco	234
37	MightyWertu	230
38	andy_rex	198
39	LexMakesHistory	192
40	Maenara	185
41	fffMike	182
42	MovingFish7	176
43	CharlieButt	174
43	Jij0	174
45	ROY4LE	158
46	kekhon	153
47	corpsecity	136
47	Akoot_	136
49	MattieHD	131
50	Jackattack53	128
51	AuroraValkyrie	124
52	PigDab	122
53	Bumpy419	112
53	UCP_TheKingK	112
55	Di_infiri	98
56	I_Am_Mushkin	97
57	valiSW	96
58	jnp_gaming	84
59	Vizzoid	78
60	Lord_Zacler	73
61	IronArshXS	65
61	M_Patata	65
61	MasterNueve	65
64	Hoid_the_Roamer	64
64	Kubeusz2010	64
64	Skippeh	64
64	AltnumberF4	64
68	Leyna3	61
68	Blu3beast	61
70	Smoke____	60
71	500am	49
72	Lord_Jord	33
73	AngalexikCZ	31
73	noam464	31
75	Paintz	29
76	RoofTyler	25
77	Soplight	24
78	Fuad_R	22
79	Groovy_MoonBird	21
79	sxc_	21
79	Nicserso	21
79	HesDemonPants	21
83	T045RTY	20
83	stellarjay	20
83	JayToe	20
86	ImpavidArcher	19
87	claivin	18
88	Donutt	16
89	SvenskaHugo	15
90	Powowowow	14
91	PlasticOtari	13
92	TechnoNinja64	12
93	Rumpletaezer	9
93	Sheldor097	9
95	Mahoose	8
95	ShedJr_	8
95	Zaridey	8
98	eitanzaki	7
98	XxCookiequeenxX	7
98	BumbleBeever	7
98	h2p_emrld	7
102	sp00ky_ghost977	6
102	ConnorDanky_	6
102	FishisTTV	6
105	Kamflame10	5
105	Arceus1975	5
105	Onennon	5
105	StinkyDiplomat	5
105	MilleGrug	5
105	trexgb	5
111	Alteriity	4
112	Cowison	3
113	Mr_Byzantine	2
113	12Magner05	2
113	Winklepicker279	2
116	teslawolf38	1
116	Secret_Canary	1
116	Scathra	1
116	_8man	1
116	EveryonesUncle	1
116	JESS_THE_RERE	1
116	FreakGenius	1
116	DolphinLaugh	1
116	Smiguli_	1
