rank	username	minecraft:crafted/minecraft:light_blue_stained_glass
1	joethahobo	48072
2	Hyp3rion_	34912
3	lordpipe	10464
4	NomadicRobin_	6312
5	Hiryu27	3496
6	Ezekson	2632
7	Snowflowe	2328
8	RebelAndroid	2296
9	12Magner05	2200
10	Arceus1975	2000
11	Di_infiri	1936
12	audiocracked	1648
13	sp00ky_ghost977	1352
14	T045RTY	1344
15	rarrq	1256
16	oxfordschool	1096
17	MyNameIsJobo	1056
18	Paintz	904
19	cedric72	888
20	beeperbeeper5	792
21	Zaridey	752
22	_Karmaa	664
23	claivin	640
24	The_slideV3	576
25	MakeHistory157	512
26	thewindmillman	496
27	Groovy_MoonBird	448
27	ProfessorBee	448
29	xxPipperDipperxx	376
30	El_Jalapeno	352
31	Smoke____	344
32	titanlax	336
33	Zythose	320
34	Optiprimus	304
35	Merv__	296
36	eitanzaki	288
37	TheSecondLord	280
37	LexMakesHistory	280
39	Frozil12	264
40	Spacewardharpy7	256
41	GLLogan2	224
42	Miko_Fullbuster	216
43	UrbanPlanner1978	208
44	TheTrueClipse	192
45	_Virify_	184
46	Inbefour	176
47	Swexti	168
47	valkam13	168
47	Groundler	168
50	r123moore	160
50	Rumpletaezer	160
52	TheShyPig	136
52	sebastiensaborio	136
54	Marbz_	128
54	lillips	128
56	Drlzyy	112
56	Reamdin	112
58	tobinwilliams	96
59	Enderslayerxz3	88
60	SoftSix	80
60	Blaiku	80
62	Iagoku	72
62	Blackberry1310	72
62	QueenShuvi	72
65	Wooptey	64
65	Notta	64
65	SellyZ	64
65	Chromary	64
65	Jamstroxian	64
65	YungMaki	64
71	Mr_Byzantine	56
71	ssleepless	56
71	geekbird	56
71	TechnoNinja64	56
75	BobDeBouwer1337	48
75	mwrty	48
75	EveryonesUncle	48
75	EcksD	48
79	kekhon	40
79	Powowowow	40
81	SaucyDark	32
81	_Dean_123	32
81	500am	32
81	Onennon	32
81	Eraxa	32
86	HellsSponge	28
87	Jorrdi	24
87	dabloons	24
87	MattieHD	24
87	noam464	24
87	ApophisNova	24
87	Nekomin0	24
87	PortlyPete69	24
87	MyNamaSheff	24
87	OnlyOfficial	24
87	Legendosh	24
87	The_SlideV5	24
98	Batoser	16
98	Hoid_the_Roamer	16
98	OtariCharlie	16
98	RodSerlingCringe	16
98	wezzzi	16
98	Jiminbub	16
98	Freak_Genius	16
98	fluddd	16
106	pintsizedrogue	8
106	Incinere	8
106	ShedJr_	8
106	CliffEmAll	8
106	thescout7	8
106	__Fanda__	8
106	burbankbuilder28	8
106	Werbe	8
106	ooga47	8
106	fred870d	8
106	LilLizardWizard	8
106	Maenara	8
106	Akoot_	8
106	chipklip	8
106	AssEatrAndLicker	8
106	Blu3beast	8
106	Kowcio_	8
106	Soplight	8
106	lcvezra	8
106	Dogcorn69420	8
106	Quotary	8
