rank	username	minecraft:crafted/minecraft:bamboo_fence_gate
1	Mr_Byzantine	32
1	Merv__	32
3	robonya_	17
4	SpacesickPrism	5
4	Enderxz3	5
6	Steelynan	4
6	skitzxo	4
8	pixelviolin	2
8	Jimb0nat0r	2
10	TheSecondLord	1
