rank	username	minecraft:crafted/minecraft:spruce_hanging_sign
1	Buuck_	222
2	Mattesco	42
3	Merv__	36
4	Spaghettatron	24
5	milltesco	18
5	Moofyman	18
5	Enderxz3	18
8	PazinGaming	12
8	SnowfallUwU	12
8	craaaash	12
8	SpacesickPrism	12
12	Huwulling	6
12	TheSecondLord	6
12	MattieHD	6
12	DisgruntledKoala	6
12	thebaddruid	6
12	Paul_Katan	6
12	pixelviolin	6
12	TheKingK_	6
12	TheWickedBird	6
