rank	username	minecraft:crafted/minecraft:pink_stained_glass
1	lordpipe	6664
2	Lez_	1432
3	Werbe	1216
4	EveryonesUncle	832
5	chipklip	704
6	Smoke____	688
7	MakeHistory157	600
8	walll	512
9	beeperbeeper5	416
10	Hyp3rion_	384
11	ooga47	208
12	Tyrannosplart	192
13	Xalithia	152
13	EcksD	152
15	TheEnderMan548	144
16	Marbz_	128
17	livingdaydreams	80
18	Blaiku	72
18	Spacewardharpy7	72
20	joethahobo	64
20	CollinMH06	64
20	Billious	64
20	Bumpy419	64
20	Rasmanden	64
20	lillips	64
20	FreakGenius	64
20	anbbang	64
28	titanlax	56
28	thewindmillman	56
30	CattSoup	48
31	RoskobiOne	40
31	TheSecondLord	40
33	pintsizedrogue	32
33	SaucyDark	32
33	El_Jalapeno	32
36	HellsSponge	28
37	Inchef	24
37	_Cloverbelle_	24
37	Inbefour	24
37	LexMakesHistory	24
37	Eraxa	24
37	bloomkieren	24
37	PortlyPete69	24
37	tompup	24
37	mountaingirl311	24
37	Jimb0nat0r	24
47	SmashingPump	16
47	AuroraValkyrie	16
47	EMC_	16
47	Wooptey	16
47	Mahoose	16
47	MyNameIsJobo	16
47	audiocracked	16
47	luseis	16
47	Groundler	16
47	LordSpeed37	16
47	obzii	16
58	6king6colt6	8
58	CoffeeNoir	8
58	ThiccExotic	8
58	MinttyFressh	8
58	_Nuf	8
58	_Dean_123	8
58	500am	8
58	MeowMeowMcmuffin	8
58	mwrty	8
58	xxPipperDipperxx	8
58	SuperPooch06	8
58	LilLizardWizard	8
58	wezzzi	8
58	RoofTyler	8
58	Soap_Bender	8
58	fluddd	8
58	Kowcio_	8
58	Soplight	8
58	lcvezra	8
58	GlitchyPlate810	8
58	Quotary	8
