rank	username	minecraft:crafted/minecraft:orange_stained_glass
1	joethahobo	64616
2	Hyp3rion_	17344
3	beeperbeeper5	10072
4	AdmiralSmoke	5953
5	Spacewardharpy7	5656
6	lordpipe	5472
7	luseis	1728
8	mihimihimihi	1704
9	Lez_	1344
10	LexMakesHistory	1280
11	SkateboardR6	1052
12	Winklepicker279	1016
13	Mattesco	648
14	AltnumberF4	624
15	MakeHistory157	512
16	walll	504
16	EcksD	504
18	pintsizedrogue	312
19	The_slideV3	256
20	Hoid_the_Roamer	192
21	pixelviolin	176
22	TheSecondLord	168
23	TheShyPig	136
23	lillips	136
25	RoskobiOne	128
25	BobDeBouwer1337	128
27	_Virify_	112
28	Chromary	104
29	r123moore	96
29	tobinwilliams	96
29	Kowcio_	96
29	TechnoNinja64	96
33	xxPipperDipperxx	80
33	theonlymagikarp	80
33	xolstoi	80
36	Maenara	72
36	fw3xy74	72
36	Manaateee	72
36	Blaiku	72
40	PazinGaming	64
40	Notta	64
40	500am	64
40	ROY4LE	64
40	Marbz_	64
40	jnp_gaming	64
46	Comma__	56
46	m_be9	56
46	ConnorDanky_	56
46	PlasticOtari	56
50	jacxhadow	48
50	Groundler	48
52	titanlax	40
52	Bumpy419	40
52	Inbefour	40
55	hanaryheatwave	32
55	Jamstroxian	32
55	El_Jalapeno	32
55	tompup	32
55	Jimb0nat0r	32
55	The_SlideV5	32
61	tuckerdoodle	24
61	Wooptey	24
61	Blackberry1310	24
61	_Dean_123	24
61	Fullut	24
61	Xalithia	24
61	thewindmillman	24
68	HellsSponge	20
69	AuroraValkyrie	16
69	xXTheWolfmanXx	16
69	Mahoose	16
69	SuperPooch06	16
69	fluddd	16
74	Groovy_MoonBird	8
74	CLG_Kata	8
74	Merv__	8
74	Frozil20	8
74	ImpavidArcher	8
74	RebelAndroid	8
74	oreee	8
74	CEOofSHINS	8
74	Saucepeh	8
74	mwrty	8
74	yheece	8
74	ItsAki_	8
74	Werbe	8
74	ScootOfBoot	8
74	Onennon	8
74	wezzzi	8
74	LeonelSalamanca	8
74	DarlaMeow	8
74	MangoSalad316	8
74	StarCookiees_	8
74	Segotep999	8
74	Soplight	8
74	lcvezra	8
74	Dogcorn69420	8
74	fffMike	8
74	Steelynan	8
74	Quotary	8
74	Nicserso	8
74	little_dUki	8
74	Enderxz3	8
