rank	username	minecraft:crafted/minecraft:decorated_pot
1	Mr_Byzantine	146
2	Merv__	96
3	Kakolbus	61
4	Mattesco	48
5	Kowcio_	32
6	luseis	27
7	skitzxo	17
8	ECstardust	16
9	Pumpkin_P_Patch	14
9	Enderxz3	14
11	Secret_Canary	13
12	Soplight	12
13	pintsizedrogue	11
14	k_ce	10
14	oscminus	10
16	j5ylim	9
17	Steelynan	8
17	TheWickedBird	8
19	shineh10	6
19	KamFurnace	6
21	QuiCreans	5
21	Werbe	5
23	12Magner05	4
23	Blasterboy54	4
25	ZaneABrain	3
25	Lez_	3
25	bl1ss0	3
25	Jackattack53	3
25	Moofyman	3
25	pixelviolin	3
25	Jimb0nat0r	3
32	myaccountwasgone	2
32	beeperbeeper5	2
32	MattieHD	2
32	Reneedium	2
32	Manaateee	2
32	Blockbard_	2
32	Buuck_	2
32	Thunder_bird4337	2
32	BubblyOrangutan	2
41	gren_ben	1
41	lorywithay	1
41	Alteriity	1
41	Huwulling	1
41	Archsam	1
41	royal_2	1
41	Tersea_	1
41	noam464	1
41	Hahaa_0	1
41	EveryonesUncle	1
41	pretty_pink_reno	1
41	_Mythic____	1
41	FormulaNewt3627	1
41	ConnorDanky_	1
