rank	username	minecraft:crafted/minecraft:acacia_planks
282	Jackster03	124
282	CEOofSHINS	124
282	Tiberonus	124
282	Fuhrer_Teemo	124
282	ItsDeltaMC	124
282	00000000-0000-0000-0009-01ff0c3e5e4f	124
288	Blazebit	120
288	Skylord_Luke	120
290	dimondking777	116
290	Tommhh	116
290	hayybails	116
290	szczeepaan	116
294	_stets	112
294	Batman922	112
294	MeowMeowMcmuffin	112
294	Azmodan_246	112
298	olliebollie48	108
298	QuacksonThe3rd	108
298	Druid95	108
