rank	username	minecraft:crafted/minecraft:granite_stairs
1	lcvezra	534
2	Gundam_Steven	528
3	Smoke____	207
4	Steelynan	164
5	Snow_Blizzard	88
6	kekhon	64
7	Enderxz3	48
8	nocturne78	44
9	Racengan	40
9	radioactv_jelly	40
11	UCP_TheKingK	34
12	Kowcio_	29
13	Bumpy419	24
14	GLLogan2	20
14	monomara	20
16	avalan64	16
17	91stCataclysm	12
17	SamZombie	12
17	Meatlaugh	12
17	CheckOutMyPVault	12
21	ImpavidArcher	8
21	titanlax	8
21	BobDeBouwer1337	8
21	SellyZ	8
21	gcaisawesome	8
21	Werbe	8
21	TheShyPig	8
21	Lord_Jord	8
21	Soplight	8
21	xolstoi	8
31	luseis	7
32	SingedBread	5
33	pintsizedrogue	4
33	Historical_Sand	4
33	Smashic	4
33	groofles	4
33	El_Jalapeno	4
33	starbits140	4
33	PortlyPete69	4
33	Skippeh	4
33	little_dUki	4
42	beeperbeeper5	2
42	Jimb0nat0r	2
42	PlasticOtari	2
