rank	username	minecraft:crafted/minecraft:tropical_fish_bucket
1	Mahoose	19
2	FreakGenius	8
3	ConnorDanky_	5
4	bloodbiter	4
4	slkiey	4
4	Inbefour	4
4	Ezekson	4
4	TechnoNinja64	4
4	AdmiralSmoke	4
10	corpsecity	2
10	Toriankel	2
12	abramgray	1
12	YungMaki	1
12	Luigipunch989	1
