rank	username	minecraft:crafted/minecraft:saddle
1	Lez_	62
2	KingMatthew506	33
3	ConnorDanky_	32
4	oscminus	24
5	beeperbeeper5	20
6	Apollo_993	18
7	EdGalbraith	17
8	Mahoose	14
9	EcksD	12
10	excelsionprime	11
11	EveryonesUncle	10
11	luseis	10
13	FreakGenius	6
13	pixelviolin	6
15	Luminad3	5
15	IAmTheWalrus910	5
17	tuckerdoodle	4
18	thewindmillman	3
18	ReflexCode	3
20	ImNotYuqii	2
20	RebelAndroid	2
20	Voxin2K	2
20	Cordicus	2
20	KlausVonStiglitz	2
25	Hpdinosaur	1
25	T045RTY	1
25	Archsam	1
25	MattieHD	1
25	Kamflame	1
25	Bolete	1
25	John6970	1
25	legal_tax_evader	1
25	thgrocks	1
25	DarlaMeow	1
25	claivin	1
25	TheEnderMan548	1
25	Moss_2006	1
25	c0la_c0ca	1
25	Dogcorn69420	1
25	Zcolt69	1
