rank	username	minecraft:crafted/minecraft:birch_wood
1	Yamdalorian	2469
2	PlasticOtari	681
3	Mahoose	609
4	rarrq	372
5	noam464	321
6	Groundler	258
7	Enderxz3	246
8	SpacesickPrism	225
9	luseis	222
10	miramyu	219
11	Hyp3rion_	204
12	The_SlideV5	192
13	Werbe	180
14	Kowcio_	159
15	500am	138
16	Lez_	120
17	joethahobo	96
17	Rebytre	96
17	Mattesco	96
17	Steelynan	96
21	KeruNatsema	93
22	MattieHD	72
22	YuenKei	72
24	Pumpkin_P_Patch	57
25	fr0stss	51
25	beeperbeeper5	51
27	Hoid_the_Roamer	48
27	Maenara	48
29	Apollo_993	42
29	Manaateee	42
31	eviltunix	36
31	MyNameIsJobo	36
33	Reneedium	33
34	PizzaJake	27
35	Mr_Byzantine	24
36	hm947	21
36	pixelviolin	21
38	pintsizedrogue	18
38	oreee	18
38	IamCL4SSY	18
41	Merv__	15
41	Human_Resource	15
41	Legendosh	15
41	FishisTTV	15
45	Alteriity	12
45	censorsheep	12
45	Buuck_	12
48	RatatJuice	9
48	ougstur	9
48	mobunni	9
51	_Huge_Male_	6
51	Ryan_GEMS	6
51	yuuxxii	6
51	ayamefag	6
51	Luigipunch989	6
56	lorywithay	3
56	lotarp	3
56	SilentFatGuy	3
56	TheMaster972	3
56	TheSecondLord	3
56	Zedducius	3
56	bloodbiter	3
56	Inchef	3
56	M_Patata	3
56	Di_infiri	3
56	strifeforlyfe	3
56	Moofyman	3
56	AlexxO_o	3
56	420BreadLizard	3
56	Nateman1000	3
56	ewpunk	3
56	MasterNueve	3
56	LordSpeed37	3
56	KingMatthew506	3
56	cichy096	3
76	HellsSponge	2
76	Deerfoot	2
