rank	username	minecraft:crafted/minecraft:black_dye
1	thewindmillman	183879
2	EcksD	88343
3	noam464	29647
4	beeperbeeper5	20366
5	12Magner05	16057
6	ConnorDanky_	15891
7	joethahobo	15664
8	Blaiku	13531
9	PigDab	13268
10	gcaisawesome	11775
11	Hyp3rion_	11771
12	Frozil20	11656
13	YungMaki	10428
14	TheShyPig	7974
15	Smoke____	7499
16	non089	6420
17	Jimb0nat0r	6306
18	Snowflowe	5316
19	Spacewardharpy7	4563
20	MakeHistory157	4220
21	mihimihimihi	4007
22	Werbe	3989
23	xolstoi	3671
24	Marbz_	3527
25	RebelAndroid	3277
26	teslawolf38	3271
27	EveryonesUncle	3163
28	Huwulling	3153
29	Ezekson	3143
30	Kowcio_	3132
31	Enderxz3	2955
32	TheSecondLord	2734
33	lordpipe	2616
34	eitanzaki	2480
35	CliffEmAll	2473
36	Mahoose	2226
37	pintsizedrogue	2133
38	SingedBread	2112
39	luseis	2000
40	DarlaMeow	1821
41	Rumpletaezer	1805
42	Di_infiri	1650
43	xxPipperDipperxx	1592
44	thescout7	1574
45	Eraxa	1528
46	Zythose	1477
47	PlasticOtari	1412
48	RoofTyler	1248
49	Biites	1172
50	Lez_	1142
51	ImpavidArcher	1105
52	jnp_gaming	1053
53	Franco093	1035
54	mwrty	1033
55	CoffeeNoir	964
56	pixelviolin	832
57	Blackberry1310	781
58	_Karmaa	777
59	MightyWertu	770
60	m_be9	724
61	Inbefour	721
62	EMC_	714
63	Dogcorn69420	707
64	Inchef	672
65	set67	669
66	Jackattack53	666
67	kekhon	662
68	lillips	643
69	QuiCreans	641
70	weabis	628
71	500am	612
72	Wowful	587
73	Crowman1	555
74	NameGenerat0r	542
75	Rocco_Lane	528
76	Incinere	515
77	PortlyPete69	486
78	The_slideV3	472
79	NotTrixi	448
80	Quotary	442
81	The_SlideV5	416
82	Arceus1975	411
83	RobotMinion101	410
84	Comma__	399
84	Deathkob	399
84	FreakGenius	399
87	rarrq	397
88	Hiryu27	388
89	fluddd	387
90	MattieHD	381
91	Skippeh	342
92	titanlax	337
93	MilleGrug	328
94	iSammael	320
95	Onennon	317
96	Winklepicker279	314
97	Racengan	313
97	Dusk_95	313
99	M_Patata	310
99	MasterNueve	310
101	PazinGaming	308
102	EngagedGrub41	305
103	Chromary	288
104	Kakolbus	287
105	Mr_Byzantine	284
106	Sral7	282
107	r123moore	278
108	Merv__	266
109	LordSpeed37	263
110	ogoa	257
111	Kamflame10	256
111	burbankbuilder28	256
113	Blu3beast	254
114	Swexti	246
115	jushykins	241
116	hm947	234
117	__tomato	233
118	HellsSponge	231
119	Dan_Scha	220
120	Avrelion	215
121	Truckoss	212
122	RealGroot	209
123	ApophisNova	205
123	MyNamaSheff	205
125	Jovaphobic	203
126	BobDeBouwer1337	200
127	Soplight	199
128	Steelynan	198
129	Fullut	197
130	NomadicRobin_	194
131	Otarichi	192
131	IamCL4SSY	192
131	audiocracked	192
134	Rich_Kat	189
135	1442	169
136	Zoeyfortnite	159
137	SSytex_X	158
138	Xalithia	151
138	Tyrannosplart	151
140	claivin	146
141	sp00ky_ghost977	143
142	Powowowow	142
143	Syropatathe	141
144	SmashingPump	139
145	Bandito_Roamer	137
146	SammiWolfGirl	136
146	h2p_emrld	136
148	CollinMH06	133
148	Nicserso	133
150	SkateboardR6	131
151	Iagoku	130
151	fkGrim	130
153	King_Pancake1	129
154	MAns_44	128
155	WyngGoy	124
156	Lord_Jord	116
157	lizardfightclub	111
158	ROY4LE	109
159	I_Am_Mushkin	107
160	CalebDHawk	104
161	bigstankyy	103
161	Hoid_the_Roamer	103
163	ooga47	100
164	thebaddruid	99
165	ssleepless	98
166	binman420	97
167	diamondgolem35	96
167	youhjjhhhjj	96
169	ZoomieZoomie	94
170	RoskobiOne	92
170	gustarlep	92
172	SuperPooch06	91
172	Mattesco	91
174	_Huge_Male_	86
174	The11thDoctor	86
176	MyNameIsJobo	85
176	TechnoNinja64	85
178	Groovy_MoonBird	84
179	Akoot_	83
180	MrExplorer	82
181	SaucyDark	81
182	CadenSteele	80
183	himak1	79
184	Bumpy419	77
185	anbbang	76
186	BumbleBeever	74
186	starbits140	74
188	AJplaysMC_	73
189	Nycteus_	72
190	TheEnderMan548	71
191	k_ce	69
191	Historical_Sand	69
191	PlzNoBM	69
194	handsome_strong	68
194	Legendosh	68
196	ProfessorBee	67
196	seramalen	67
196	UrbanPlanningEx	67
199	AuroraValkyrie	66
199	Cocoamallows	66
201	NinjaKnifeKill	65
201	Rasmanden	65
201	IvarEXE	65
201	xzvu	65
205	seanitoo	64
205	_Virify_	64
205	Diavri	64
205	cedric72	64
205	bearlystraight	64
210	Xclax101	63
211	gabriels543	62
211	_TCARREIRA_	62
213	Alteriity	61
213	SpacesickPrism	61
215	olliebollie48	60
216	Queen_Jalapeno	58
217	SquadMonster	56
218	Maenara	54
218	JayToe	54
220	Leyna3	53
221	epiksk8erduck	52
222	AdvertisingMerc	51
223	Kubeusz2010	50
224	Btabtab	49
225	TooManyDuck	48
225	MangoTheFish	48
225	Fildyr	48
225	ThisUserIsStump	48
225	Eczbek	48
230	PegLegPete93	47
230	Jeteight	47
230	Iamthejo	47
233	Cryptacity	45
233	RedcatVII	45
235	PhantomsGhost_	44
235	StinkyDiplomat	44
237	Ssor69	43
237	AnnieBathory	43
237	Kynigito	43
240	GlitchyPlate810	42
241	_Dean_123	41
241	Covalents	41
243	XxCookiequeenxX	39
243	Ze_BaronKrigler	39
245	jessewegottacook	38
245	bloodbiter	38
247	ExtraDumb	37
247	jacxhadow	37
247	Luminad3	37
247	DanTheBuilderino	37
247	stellarjay	37
252	lcvezra	36
253	Tobinator_007	35
253	T045RTY	35
255	Creativebuilder2	34
255	corpsecity	34
257	Yirtle	33
257	Awyrlas	33
257	GoofySilly	33
260	ConcretePirate	31
261	Apollo_993	30
261	Megarboh	30
261	pappaberg	30
264	NatalieTW	29
264	Kubelz	29
264	Kyrum2169	29
267	Jalvajar	27
267	Rebytre	27
269	LeauVox4921	26
269	MovingFish7	26
271	CyrusIsTired	24
271	00000000-0000-0000-0009-01ff0c3e5e4f	24
273	oreee	23
274	theonlymagikarp	22
274	Zaridey	22
274	CarltheCuck	22
274	The_Fulgurator	22
274	El_Jalapeno	22
279	BlancoFlaco	21
279	H72l9w	21
279	Motsaro	21
279	LeGold	21
279	MyNameIsDakar	21
279	Fuad_R	21
285	_Boipl_	20
286	Tommhh	19
286	ratglock	19
286	Touched_Bread	19
289	SyntheticSurgeon	17
289	ItsAki_	17
289	Hermanni__	17
292	RatatJuice	16
292	Stynxy	16
292	KliBeast21	16
292	GooseWithin	16
292	Razzgriz	16
292	KingMatthew506	16
298	Skylord_Luke	15
298	MinuteMira	15
298	mobunni	15
