rank	username	minecraft:crafted/minecraft:birch_boat
1	beeperbeeper5	463
2	Blu3beast	457
3	Kakolbus	223
4	Mahoose	150
5	Smoke____	127
6	HellsSponge	86
7	Di_infiri	61
8	kekhon	59
8	YungMaki	59
10	djancak	58
11	LILI_G_F_2007	47
12	joethahobo	35
13	Sral7	30
14	Blackberry1310	29
15	DarlaMeow	26
16	Werbe	25
16	AssEatrAndLicker	25
16	Spacewardharpy7	25
19	NameGenerat0r	22
20	Dedalus36	21
21	IAmTheWalrus910	20
22	Spenduh	18
23	KarlKaek	15
23	Natofthese	15
23	grislgrobl	15
26	rarrq	14
27	eitanzaki	13
27	mwrty	13
27	egglapras	13
27	__Fanda__	13
31	bloodbiter	12
31	Mr_Gulle	12
31	EcksD	12
34	thewindmillman	11
34	k1ngGilgamesh	11
34	Wanjibon	11
37	SingedBread	10
38	dudcreeper	9
38	Wowful	9
38	fluddd	9
38	stavgod	9
38	diggydog67	9
43	Tommhh	8
43	Akoot_	8
43	_Bguette_	8
43	The_slideV3	8
43	Groundler	8
43	lordpipe	8
49	picardred	7
49	IforgotCS_Source	7
49	ROY4LE	7
49	noam464	7
49	SuperPooch06	7
49	fred870d	7
49	sp00ky_ghost977	7
49	Strangemonkey71	7
49	ediballbearings	7
49	Njensen7	7
49	FishisTTV	7
60	pintsizedrogue	6
60	RebelAndroid	6
60	NYJ	6
60	balin55	6
64	PhantomsGhost_	5
64	jimintyy	5
64	T045RTY	5
64	Giannism	5
64	MyNameIsJobo	5
64	AnnieBathory	5
64	MustardDrinker	5
64	Deathkob	5
64	fffMike	5
64	cichy096	5
74	The_Great_Jake	4
74	I_Am_Mushkin	4
74	ImpavidArcher	4
74	heckface	4
74	_Nuf	4
74	lordsaladito	4
74	NotMeanttoChange	4
74	eviltunix	4
74	TheDankPlatypus	4
74	Posseth	4
74	TheShyPig	4
74	Drewen24	4
74	deavol	4
74	ADEXTV	4
74	censorsheep	4
74	Typadopoulos	4
74	Jij0	4
74	jaimshae	4
74	stahouo	4
74	PortlyPete69	4
74	The_SlideV5	4
74	EcksDofficial	4
96	Natty	3
96	uhm__okay	3
96	Ozixar	3
96	SirMinza	3
96	ProfessorBee	3
96	beeleg	3
96	BB_Butcher	3
96	Bumpy419	3
96	RohnJosin	3
96	CruncyIsTaken	3
96	TheTrueClipse	3
96	Lord_Jord	3
96	Inbefour	3
96	Russiancat1	3
96	Nycteus_	3
96	Blaiku	3
96	Racengan	3
96	Dusk_95	3
96	LordSpeed37	3
96	sebastiensaborio	3
96	Vellu21	3
96	oxfordschool	3
96	Enderslayerxz3	3
96	vandmanden	3
96	Zoeyfortnite	3
96	JayToe	3
122	jjettii	2
122	seanitoo	2
122	SyK7	2
122	Cowison	2
122	jspwn	2
122	Sabby65	2
122	Incinere	2
122	seba070c	2
122	elleparo	2
122	IWorkAtIkea	2
122	Cryptacity	2
122	4383	2
122	Zedducius	2
122	jacxhadow	2
122	Albertalo	2
122	_Dean_123	2
122	MindyDooWho	2
122	xxPipperDipperxx	2
122	Diavri	2
122	hcb238	2
122	DSYisDizzy	2
122	gcaisawesome	2
122	r123moore	2
122	Crasswolf	2
122	moderncraft	2
122	CollinMH06	2
122	Jackattack53	2
122	burbankbuilder28	2
122	_Boipl_	2
122	Fast_Turtle	2
122	domagawha	2
122	Hiryu27	2
122	bee_gorl	2
122	Kouridragon	2
122	wrinkledpiglet	2
122	SIRdrumroll	2
122	cedric72	2
122	dnlksl	2
122	Kryktal	2
122	LilLizardWizard	2
122	Rasmanden	2
122	wezzzi	2
122	AlphaWolfPlaysMC	2
122	audiocracked	2
122	NoChumpChange	2
122	EveryonesUncle	2
122	Fuhrer_Teemo	2
122	The_Quack_Dealer	2
122	chipklip	2
122	proxivitoid	2
122	Soap_Bender	2
122	The_Skramz	2
122	Freak_Genius	2
122	_zzoe	2
122	halfbakedlasagna	2
122	Warlord324	2
122	SkateboardR6	2
122	MovingFish7	2
122	ElKaySVK	2
122	Optiprimus	2
122	BuildTheGondola	2
122	SvenskaHugo	2
122	Chayula	2
122	snizv1	2
122	sebbegb	2
122	SirBreadward	2
122	OfficerAnvil	2
122	BreadBacon	2
122	QueenOfDirt	2
122	AltnumberF4	2
122	Legendosh	2
122	Powowowow	2
122	Jordan_R	2
122	h2p_emrld	2
196	rats_life	1
196	TheRedHeadGirl	1
196	RosaDoesMC	1
196	SugarMyNuggets	1
196	susbakaimpostor	1
196	BigMaoguai	1
196	LordlessAbyss	1
196	nataliecool	1
196	gizmo98	1
196	Jalvajar	1
196	fanofbands101	1
196	Paint	1
196	Jo_Jo_Bear	1
196	KILLERBEAST1707	1
196	lewieinnit	1
196	SlowMoNinja1994	1
196	LovelyDane	1
196	Yatitay	1
196	6king6colt6	1
196	Sleek_Storm_721	1
196	bigstankyy	1
196	hm947	1
196	Lukeee33	1
196	TooManyDuck	1
196	Gundam_Steven	1
196	Wooptey	1
196	HollieDaNugget	1
196	_R_y__a_n_	1
196	imthatpikachu	1
196	MangoTango82	1
196	scottkidz	1
196	Myrlewen	1
196	mennorovers	1
196	oreee	1
196	TheEnusa	1
196	Digcove	1
196	Shazzyling	1
196	Ganjier	1
196	TheFlfthHorseman	1
196	pooyas123	1
196	prelutrinae	1
196	ratglock	1
196	Gary120	1
196	Over_Spirit	1
196	ThePoliteG	1
196	Ravenbie	1
196	12Magner05	1
196	Boboczus	1
196	MrExplorer	1
196	MattieHD	1
196	virtual_acid	1
196	Gofeeh	1
196	SoftSix	1
196	Lumien_	1
196	kkksc03	1
196	Fullut	1
196	slkiey	1
196	crying_wolf_13	1
196	Nach0Bear	1
196	thescout7	1
196	a24680	1
196	Motsaro	1
196	Irko	1
196	MassiveOof45	1
196	LikeableSausage	1
196	lionmindset	1
196	SUSUGAM	1
196	Zenlou	1
196	FalconOW	1
196	Kronyus	1
196	HypixelForums	1
196	TylerDupree	1
196	ayqq	1
196	ItzYaBoiPicard	1
196	CaptainBadKid	1
196	Kubelz	1
196	Bolete	1
196	XboxPanda	1
196	CharlieButt	1
196	SHAOBADMAN	1
196	fallingemma	1
196	mariominejedi	1
196	loveseeker	1
196	Norrhede	1
196	beata_beatrix	1
196	Rumpletaezer	1
196	szczeepaan	1
196	WET_WET_WET	1
196	Armattillo	1
196	DaviusMaximoose	1
196	Aerqophs	1
196	andy_rex	1
196	AlexStrange	1
196	Jaccob_satorius	1
196	SokaOtaku	1
196	Kaziglubey	1
196	nut_e	1
196	BlossomOwO	1
196	Nickitoe	1
196	Muffindrake	1
196	FastLane1	1
196	Chrisdeadeye	1
196	Kynigito	1
196	DanielMmm	1
196	HyperCave	1
