rank	username	minecraft:crafted/minecraft:lime_terracotta
1	thewindmillman	19384
2	joethahobo	9728
3	YungMaki	2560
4	EveryonesUncle	1144
5	Inbefour	1120
6	lordpipe	800
7	pintsizedrogue	758
8	rarrq	704
8	Kowcio_	704
10	Spacewardharpy7	680
11	SuperPooch06	640
12	Rumpletaezer	536
13	Mahoose	520
14	Smoke____	404
15	Steelynan	384
16	Frozil12	352
17	Freak_Genius	321
18	EcksD	264
19	Snowflowe	256
19	lillips	256
21	Werbe	248
22	_Karmaa	168
23	Kakolbus	152
24	noam464	150
25	epiksk8erduck	144
26	SteveCraftBlocks	128
26	Jackattack53	128
26	AlexxO_o	128
26	GravitySaint	128
30	kekhon	120
31	Merv__	80
31	oxfordschool	80
33	Paint	64
33	Marbz_	64
33	TheShyPig	64
33	SvenskaHugo	64
33	Soplight	64
33	Legendosh	64
39	Di_infiri	56
39	HellsSponge	56
41	Quotary	37
42	bloodbiter	32
43	pixelviolin	31
44	EMC_	24
44	ImpavidArcher	24
44	SaucyDark	24
44	mwrty	24
44	theonlymagikarp	24
44	gcaisawesome	24
50	beeperbeeper5	16
50	Hiryu27	16
52	eitanzaki	12
52	Sral7	12
54	Bandito_Roamer	8
54	Wooptey	8
54	corvidpartyfor6	8
54	Arceus1975	8
54	Bumpy419	8
54	ooga47	8
54	duqboy	8
54	DemTechAlpha	8
54	StinkyDiplomat	8
54	ItsDeltaMC	8
54	PlasticOtari	8
54	The_SlideV5	8
66	Historical_Sand	6
67	Comma__	5
