rank	username	minecraft:crafted/minecraft:blue_bed
1	mwrty	128
2	fw3xywashere	85
3	Blu3beast	64
4	oxfordschool	38
5	Soplight	36
6	RadarHz	35
7	Merv__	21
7	Dedalus36	21
7	LilyNova	21
7	DarlaMeow	21
11	Drlzyy	18
12	MattieHD	16
12	Xclax101	16
12	Skippeh	16
15	The_slideV3	15
16	kekhon	14
17	lcvezra	13
18	teslawolf38	12
19	nocturne78	11
20	TheShyPig	10
20	HellsSponge	10
22	m_be9	9
23	pixelviolin	7
23	MilleGrug	7
25	loveseeker	6
25	EveryonesUncle	6
25	MyNameIsDakar	6
25	33sudo	6
25	Steelynan	6
30	titanlax	5
30	Frozil12	5
30	SammiWolfGirl	5
33	beeperbeeper5	4
33	TableTim	4
33	Maenara	4
33	Jiminie	4
33	Deathkob	4
33	Ezekson	4
39	SaltineDream	3
39	brofrickcheaters	3
39	BreadBacon	3
39	Lowjinx	3
43	Ryker	2
43	Rox_The_Box	2
43	Mahoose	2
43	LotusProject	2
43	hcb238	2
43	dnlksl	2
43	Drewen24	2
43	AuroraSkies	2
43	AlphaWolfPlaysMC	2
43	natajimi	2
43	Fuhrer_Teemo	2
43	MAns_44	2
43	El_Jalapeno	2
43	layabout100	2
57	pintsizedrogue	1
57	Tobinator_007	1
57	nataliecool	1
57	Lotheburgh	1
57	strongman951753	1
57	KarlKaek	1
57	LoganDSA	1
57	Furiuosbeast0404	1
57	eitanzaki	1
57	maliraspberry	1
57	KomputerDude	1
57	Jackster03	1
57	Myszoaz	1
57	joethahobo	1
57	H72l9w	1
57	Michaelelelelele	1
57	FirsTimeGamingTV	1
57	heckface	1
57	Sparky_KT	1
57	TuesdayEpisode	1
57	TheSecondLord	1
57	ashetrays	1
57	bloodbiter	1
57	12Magner05	1
57	GingerNeutron	1
57	Allanon1235	1
57	slkiey	1
57	Scathra	1
57	Tjhodskins19	1
57	Xalithia	1
57	ROY4LE	1
57	gcaisawesome	1
57	NoxxxxiS	1
57	Bolete	1
57	ColdPath	1
57	M_Patata	1
57	fr_ser	1
57	Arceus1975	1
57	thewindmillman	1
57	Snowflowe	1
57	LAVA129	1
57	BasedEphex	1
57	fred870d	1
57	Vetral1	1
57	thgrocks	1
57	mehen_hokker	1
57	Lord_Jord	1
57	420BreadLizard	1
57	Mister3z	1
57	IsabellasOF	1
57	Deodorante	1
57	lillips	1
57	Blaiku	1
57	LargeCarl	1
57	MasterNueve	1
57	legoclone09	1
57	Soul_Atreus	1
57	voiding_	1
57	Jij0	1
57	SSytex_X	1
57	Luigipunch989	1
57	SunsetwolfGG	1
57	Dogcorn69420	1
57	fffMike	1
57	blimpeey	1
57	Legendosh	1
57	TechnoNinja64	1
57	kinas45y5	1
57	Yogscast_Manden	1
