rank	username	minecraft:crafted/minecraft:daylight_detector
1	Hyp3rion_	874
2	Lez_	234
3	noam464	170
4	_Nuf	148
5	thewindmillman	131
6	EveryonesUncle	128
7	Awyrlas	120
8	Jackattack53	115
9	mwrty	112
10	joethahobo	108
11	HellsSponge	75
12	ROY4LE	72
13	PlasticOtari	71
14	pintsizedrogue	64
14	Dogcorn69420	64
16	Quotary	29
17	luseis	21
17	Manaateee	21
17	NameGenerat0r	21
20	rarrq	20
21	thescout7	11
21	kyouma777	11
21	OfficerAnvil	11
24	500am	10
24	Groundler	10
26	teslawolf38	9
27	AuroraValkyrie	8
27	_Dean_123	8
27	Soplight	8
30	Merv__	6
30	El_Jalapeno	6
32	The_slideV3	5
32	AdmiralSmoke	5
34	Mahoose	4
34	Historical_Sand	4
34	beeperbeeper5	4
34	TheSeismicDuck	4
34	FreakGenius	4
34	fffMike	4
40	Louiis123	3
40	m_be9	3
40	PigDab	3
40	Kowcio_	3
44	MoistMicrowave	2
44	ThePoliteG	2
44	boog4loo	2
44	excelsionprime	2
44	Covalents	2
44	oscminus	2
44	KeruNatsema	2
44	valkam13	2
44	claivin	2
44	MAns_44	2
44	Shin69	2
44	bloomkieren	2
44	BreadBacon	2
44	jnp_gaming	2
58	H0UNDFRMH3LL	1
58	Apollo_993	1
58	ImpavidArcher	1
58	Ssor69	1
58	picardred	1
58	TheSecondLord	1
58	ProfessorBee	1
58	GLLogan2	1
58	UncreativeArtist	1
58	Di_infiri	1
58	Arceus1975	1
58	Snowflowe	1
58	JitteryJared2	1
58	Bumpy419	1
58	Rebytre	1
58	Onennon	1
58	ougstur	1
58	Akoot_	1
58	audiocracked	1
58	Blaiku	1
58	bruh072	1
58	Cocoamallows	1
58	SvenskaHugo	1
58	YungMaki	1
58	nonarso	1
58	EngagedGrub41	1
58	Jimb0nat0r	1
