rank	username	minecraft:crafted/minecraft:spruce_wood
1	Smoke____	8994
2	PlasticOtari	7782
3	beeperbeeper5	6312
4	Marbz_	3840
5	M_Patata	2295
6	MasterNueve	1911
7	rarrq	1890
8	Groundler	1188
9	Mahoose	1026
10	rotten_mango	1023
11	Frozil12	810
12	kekhon	561
13	Rebytre	558
14	joethahobo	534
15	Chromary	501
16	Inbefour	414
17	Di_infiri	396
18	pintsizedrogue	330
19	Soplight	276
20	Arceus1975	270
21	m_be9	258
22	Ezekson	249
23	EveryonesUncle	240
24	Chuglyfe	234
25	noam464	225
26	Legendosh	204
27	EMC_	192
28	Dusk_95	186
29	ogoa	165
30	Onennon	162
31	Merv__	159
32	xxPipperDipperxx	153
33	N7November	150
34	KarlKaek	147
34	Zythose	147
36	500am	129
37	MyNameIsJobo	120
38	YungMaki	114
39	KeruNatsema	93
40	NoxxxxiS	90
41	gcaisawesome	87
42	BlueZabu	81
43	GLLogan2	78
44	NameGenerat0r	75
45	Vetral1	72
46	oxfordschool	69
47	Fullut	66
47	Smashic	66
49	Spacewardharpy7	63
49	Steelynan	63
51	MattieHD	60
51	Bobby808	60
51	CrateOfBoxes	60
54	eitanzaki	57
54	CollinMH06	57
54	pixelviolin	57
57	Jackster03	51
57	HesDemonPants	51
59	Werbe	48
59	Kowcio_	48
59	Quotary	48
62	SlayerCrypto	45
62	ApophisNova	45
62	Jimi7hits	45
62	MyNamaSheff	45
66	Jiminie	42
67	Yatitay	39
67	Blackberry1310	39
67	PigDab	39
67	alderban107	39
71	CueMix	36
72	Cowison	30
72	Flores991	30
72	regulator75	30
72	zielkairos	30
72	TheShyPig	30
72	laron58	30
78	UCP_TheKingK	27
79	valkam13	24
79	claivin	24
81	JingleLizi	21
81	Alphanzt99	21
81	PortlyPete69	21
81	YoshikageBites	21
85	00000000-0000-0000-0009-01ff0c3e5e4f	18
86	diamondgolem35	15
86	ImpavidArcher	15
86	potato292	15
86	thescout7	15
86	Felenov	15
86	SpaggeDR	15
86	cedric72	15
86	Mister3z	15
86	avalan64	15
86	Eraxa	15
86	EcksD	15
97	Bk2Lumby4You	12
97	rachcl	12
97	BlancoFlaco	12
97	Ecplosive	12
97	Bumpy419	12
97	FishyBoy3811	12
97	LordSpeed37	12
97	SammiWolfGirl	12
105	Harotio	9
105	awesomeoneme	9
105	Historical_Sand	9
105	Malorn_Aetherius	9
105	Leyna3	9
105	XxCookiequeenxX	9
105	obzii	9
105	OfficerAnvil	9
105	UrbanPlanner1978	9
114	Lotheburgh	6
114	numbra	6
114	Sleek_Storm_721	6
114	Kkanot	6
114	Stiar	6
114	FennYuzuna	6
114	Drewen24	6
114	420BreadLizard	6
114	Deathkob	6
114	chipklip	6
114	HellsSponge	6
114	Human_Resource	6
114	SvenskaHugo	6
114	SirBreadward	6
114	TechnoNinja64	6
114	00000000-0000-0000-0009-01f73aa9620f	6
130	Menthas	3
130	livingdaydreams	3
130	Zlatovlas	3
130	Base_Tempest	3
130	SilentFatGuy	3
130	Ardennes	3
130	Masssonnn	3
130	Inchef	3
130	Boogaloo242	3
130	RocketRidge	3
130	Hyp3rion_	3
130	killmeiamtraitor	3
130	The_Fulgurator	3
130	Skylord_Luke	3
130	RobotMinion101	3
130	Choco_Spy	3
130	The_Quack_Dealer	3
130	Lutres_Torane	3
130	KermitTheKripple	3
130	Soap_Bender	3
130	_Karmaa	3
130	censorsheep	3
130	Razzgriz	3
130	ElectricDragon81	3
130	sleepdrifter_	3
130	_Wannabe_	3
130	EcksDofficial	3
130	WYFYoyo	3
130	zmpeg	3
130	trexgb	3
130	diggydog67	3
