rank	username	minecraft:crafted/minecraft:stone_pressure_plate
1	gcaisawesome	12364
2	noam464	1627
3	Werbe	1505
4	thewindmillman	546
5	Di_infiri	404
6	eitanzaki	285
7	Historical_Sand	245
8	HellsSponge	239
9	Spacewardharpy7	237
10	TheSecondLord	235
11	YungMaki	226
12	fffMike	217
13	Skylord_Luke	168
14	Smoke____	154
15	bigstankyy	147
16	Soplight	142
17	pintsizedrogue	141
18	beeperbeeper5	136
18	oxfordschool	136
20	Mahoose	126
20	MyNameIsJobo	126
22	_Virify_	120
23	Inchef	113
24	Awyrlas	99
25	Cowison	96
26	AuroraValkyrie	92
26	Vorlice	92
28	censorsheep	87
29	joethahobo	85
30	TheShyPig	82
31	NomadicRobin_	79
32	thescout7	78
32	StinkyDiplomat	78
34	Blaiku	76
35	m_be9	74
36	kekhon	71
37	Hyp3rion_	70
38	PigDab	69
39	Frozil12	66
40	EMC_	64
40	pipejob	64
40	Dogcorn69420	64
40	Rainaldus	64
44	Quotary	62
45	cedric72	61
45	chipklip	61
47	audiocracked	55
48	EveryonesUncle	53
48	Freak_Genius	53
48	sp00ky_ghost977	53
51	ayamefag	51
52	ssleepless	49
53	Merv__	48
53	awesomeoneme	48
53	MightyWertu	48
56	T045RTY	46
56	Cocoamallows	46
58	M_Patata	43
58	Snowflowe	43
58	MasterNueve	43
58	ProbsNotNova	43
62	Lez_	39
63	NotMeanttoChange	38
64	pr33tu	37
65	ImpavidArcher	36
65	Lord_Jord	36
65	jnp_gaming	36
68	The_SlideV5	35
69	Barlycorn	33
69	07shiny	33
71	diamondgolem35	32
71	UrbanPlanner1978	32
73	Steven1282598	31
74	lordpipe	30
74	Teebone15	30
76	Megarboh	28
77	ivorico	26
77	ApophisNova	26
77	MyNamaSheff	26
80	eviltunix	24
80	victorLIE	24
82	bloodbiter	23
83	Factoroni	22
84	Alteriity	21
84	Racengan	21
84	CalebDHawk	21
87	500am	20
87	ROY4LE	20
87	The_slideV3	20
90	CoffeeNoir	19
90	Rumpletaezer	19
90	wobn	19
93	Groundler	18
93	Ezekson	18
95	SuperPooch06	17
95	mawileite	17
95	Sral7	17
98	yatsuta	16
99	RobotMinion101	15
99	Zoeyfortnite	15
101	Eraxa	14
102	Comma__	13
102	Onennon	13
102	BlankityMcBlank	13
102	ZeroKraken	13
106	dudcreeper	12
106	andy_rex	12
106	HolyVenom	12
106	Wowful	12
106	Blu3beast	12
111	titanlax	11
111	ProfessorBee	11
111	Hiryu27	11
111	Kouridragon	11
111	Matorz	11
116	Ssor69	10
116	Xclax101	10
116	PlzNoBM	10
119	teslawolf38	9
119	Warlord324	9
121	jspwn	8
121	q_wq	8
121	TheThomas69	8
121	SeverianTheLame	8
121	lillips	8
121	MilleGrug	8
121	AltnumberF4	8
128	Blackberry1310	7
128	Smashic	7
128	loveseeker	7
128	Deathkob	7
128	Meatlaugh	7
128	Darkgon	7
128	vandmanden	7
135	TooManyDuck	6
135	H72l9w	6
135	oreee	6
135	Nicky_H225	6
135	set67	6
135	Robby_Cream	6
135	xxPipperDipperxx	6
135	hcb238	6
135	Doom_melon	6
135	wezzzi	6
135	Fildyr	6
135	SvenskaHugo	6
135	djancak	6
135	jaimshae	6
149	Jovaphobic	5
149	Groovy_MoonBird	5
149	6king6colt6	5
149	hm947	5
149	ShedJr_	5
149	Meme25327	5
149	12Magner05	5
149	Zythose	5
149	_Boipl_	5
149	Rebytre	5
149	MinerDec	5
149	AlphaWolfPlaysMC	5
149	Fuhrer_Teemo	5
149	SexcMf	5
149	__tomato	5
149	Poppy235	5
149	Western_1	5
149	KingMatthew506	5
149	athereall	5
149	Lowjinx	5
149	EcksDofficial	5
170	dimondking777	4
170	Ailmast	4
170	RebelAndroid	4
170	Prismyst	4
170	Vizzoid	4
170	BobDeBouwer1337	4
170	Jokerman369	4
