rank	username	minecraft:crafted/minecraft:lime_dye
1	thewindmillman	100398
2	Spacewardharpy7	6144
3	noam464	4360
4	ConnorDanky_	4056
5	Hyp3rion_	4002
6	beeperbeeper5	3192
7	luseis	3008
8	Huwulling	2464
9	Marbz_	1964
10	PlasticOtari	1824
11	MyNameIsJobo	1012
12	Ezekson	762
13	YungMaki	686
14	CornOnTheCobalt	576
15	eitanzaki	513
16	EveryonesUncle	510
17	TechnoNinja64	386
18	kekhon	344
19	_Virify_	308
20	Steelynan	300
21	Inbefour	290
22	lordpipe	284
23	Kakolbus	282
24	Swexti	256
24	Snowflowe	256
26	ApophisNova	230
26	MyNamaSheff	230
28	alderban107	216
29	Legendosh	212
30	SuperPooch06	207
31	HellsSponge	198
32	Kowcio_	196
32	Smoke____	196
34	rarrq	192
35	500am	170
36	CoffeeNoir	168
37	Rumpletaezer	162
38	Njensen7	136
39	Frozil20	130
40	lillips	128
41	youhjjhhhjj	120
42	joethahobo	118
42	r123moore	118
44	pintsizedrogue	106
45	Werbe	90
46	PeteO1995	87
47	TheSecondLord	84
48	mwrty	82
49	Jackattack53	78
50	HollieDaNugget	76
50	El_Jalapeno	76
52	Chromary	70
53	TheShyPig	68
54	abramgray	66
54	sp00ky_ghost977	66
54	Eczbek	66
57	stellarjay	65
58	Hoid_the_Roamer	64
58	PigDab	64
58	_Karmaa	64
58	GoofySilly	64
58	underscore_2	64
63	Soplight	56
64	Di_infiri	54
64	Bumpy419	54
66	Winston_Ingram	48
67	Comma__	44
67	The_slideV3	44
69	Eraxa	41
70	GravitySaint	40
70	Dusk_95	40
72	Nicky_H225	36
72	Fullut	36
74	Merv__	34
74	pixelviolin	34
76	KartivGal	32
76	Akoot_	32
78	Historical_Sand	30
78	claivin	30
80	theonlymagikarp	28
80	Quotary	28
82	SaucyDark	27
83	epiksk8erduck	26
83	NameGenerat0r	26
83	MightyWertu	26
86	Notta	24
86	valiSW	24
86	jnp_gaming	24
89	PortlyPete69	22
90	QuiCreans	20
90	Hiryu27	20
90	audiocracked	20
90	Groundler	20
94	LilLizardWizard	18
94	DarlaMeow	18
94	Blu3beast	18
97	SteveCraftBlocks	17
98	Wooptey	16
98	Blackberry1310	16
98	Sral7	16
101	LordSpeed37	15
102	_Dean_123	14
102	Xclax101	14
102	Enderxz3	14
105	EMC_	12
105	SirUnderpants	12
105	eclipseboi	12
105	Orcus113	12
105	ZoomieZoomie	12
110	CadenSteele	10
110	corvidpartyfor6	10
110	xxPipperDipperxx	10
110	DTwenty	10
110	Deathkob	10
115	Paint	8
115	T045RTY	8
115	Mahoose	8
115	Euclidoris	8
115	bloodbiter	8
115	ProfessorBee	8
115	Arceus1975	8
115	Skylord_Luke	8
115	Drewen24	8
115	iSammael	8
115	EngagedGrub41	8
126	RoskobiOne	6
126	m_be9	6
126	legal_tax_evader	6
126	F_Uhre	6
126	Mattesco	6
126	ougstur	6
126	LexMakesHistory	6
126	fluddd	6
126	djancak	6
126	smogfrog	6
136	Xalithia	5
136	QueenShuvi	5
138	Jovaphobic	4
138	ImNotYuqii	4
138	Alteriity	4
138	ShedJr_	4
138	oreee	4
138	ellygaytor	4
138	12Magner05	4
138	MrExplorer	4
138	Scathra	4
138	tobinwilliams	4
138	IamCL4SSY	4
138	Fuhrer_Teemo	4
138	Tyrannosplart	4
138	StinkyDiplomat	4
138	stavgod	4
138	KingMatthew506	4
138	Lowjinx	4
138	00000000-0000-0000-0009-01ff0c3e5e4f	4
156	BlueZabu	3
156	Kyrum2169	3
158	Bandito_Roamer	2
158	AuroraValkyrie	2
158	ExtraDumb	2
158	ssleepless	2
158	CryoInferno_	2
158	RebelAndroid	2
158	Ryker	2
158	Natty	2
158	Prismyst	2
158	Myszoaz	2
158	ITDV	2
158	H72l9w	2
158	Da_Boss_Rani	2
158	ccormacs	2
158	CliffEmAll	2
158	jushykins	2
158	Awyrlas	2
158	Ecplosive	2
158	mariominejedi	2
158	PuustaKauasPdnt	2
158	whoaluv	2
158	Zythose	2
158	King_Pancake1	2
158	pappaberg	2
158	The11thDoctor	2
158	Onennon	2
158	MousePlays	2
158	Kim_Jong_eel	2
158	SaintJosie	2
158	Maenara	2
158	wezzzi	2
158	binman420	2
158	TheSeismicDuck	2
158	DemTechAlpha	2
158	Quincannon	2
158	censorsheep	2
158	SingedBread	2
158	Barlycorn	2
158	Hisiste	2
158	monky_irl	2
158	MakeHistory157	2
158	Ze_BaronKrigler	2
158	Razzgriz	2
158	starbits140	2
158	SammiWolfGirl	2
158	LeeMcGee30	2
158	Skippeh	2
158	Iamthejo	2
206	UncleDanDan	1
