rank	username	minecraft:crafted/minecraft:stripped_birch_wood
1	regulator75	198
2	Werbe	132
2	AssEatrAndLicker	132
4	pintsizedrogue	117
5	Smoke____	75
6	Zythose	69
7	Blackberry1310	30
8	noam464	15
9	KeruNatsema	12
9	Legendosh	12
11	Merv__	6
11	Freak_Genius	6
13	500am	3
13	LotusProject	3
13	MyNameIsJobo	3
13	SuperPooch06	3
13	EveryonesUncle	3
13	HellsSponge	3
13	Groundler	3
