rank	username	minecraft:crafted/minecraft:sign
1	Russiancat1	93
2	OfficerAnvil	42
3	sufjanlover	34
4	grislgrobl	15
4	stuy9	15
6	Nicole_Plus	12
7	Sheellky	9
8	jjettii	6
8	JustGetGud	6
8	bbrothers_5	6
8	Setoply	6
8	popcanter	6
8	tompup	6
14	DigiBlox	3
14	Claw262	3
14	SlowMoNinja1994	3
14	knoodrake	3
14	Swalt	3
14	ashetrays	3
14	GingerNeutron	3
14	Cidah	3
14	FalconOW	3
14	Kawaii_Haxor_L	3
14	DAD_1996	3
14	curterr	3
14	JustAWill_	3
14	LuceImaginary	3
14	LilLizardWizard	3
14	MrButterscotch	3
14	RohnekK	3
14	NeoJordache	3
14	ProbsNotNova	3
14	Captain_Hardtak	3
