rank	username	minecraft:crafted/minecraft:mangrove_button
1	Jimb0nat0r	22
2	CarryLine	7
3	Mr_Byzantine	6
4	Manaateee	3
5	k_ce	1
5	Merv__	1
5	Mahoose	1
5	Sleepy_Time_	1
5	Fuad_R	1
5	PlasticOtari	1
