rank	username	minecraft:crafted/minecraft:brown_bed
1	Chromary	229
2	eitanzaki	69
3	Deathkob	54
4	TheSandwhich_	42
5	obzii	39
6	groofles	21
7	Ryan_GEMS	20
8	_witch_craft_	16
9	Racengan	14
10	_Huge_Male_	10
10	EcksD	10
12	TheSecondLord	9
13	Lez_	8
13	noam464	8
15	RebelAndroid	7
16	pintsizedrogue	6
16	Leyna3	6
18	teslawolf38	5
19	lorywithay	4
19	Mahoose	4
21	Merv__	3
21	beeperbeeper5	3
21	Jimb0nat0r	3
24	joethahobo	2
24	500am	2
24	TableTim	2
24	MyNameIsJobo	2
24	BronkerBrum	2
24	Onennon	2
24	Hisiste	2
24	IdeallyGrey	2
24	TheKingK_	2
24	EtherealEspresso	2
24	ZoomieZoomie	2
24	ConnorDanky_	2
36	ThatStupidSheep	1
36	skroobiez	1
36	FirsTimeGamingTV	1
36	Blackberry1310	1
36	Cryptacity	1
36	kekhon	1
36	Fullut	1
36	Scathra	1
36	XboxPanda	1
36	prizm_	1
36	Gzrdy	1
36	Hyp3rion_	1
36	Kattma	1
36	Werbe	1
36	selectrix	1
36	RohnJosin	1
36	F_Uhre	1
36	Mattesco	1
36	tyraxxx	1
36	the_russell1611	1
36	560cool	1
36	Soul_Atreus	1
36	Kowcio_	1
36	Spenduh	1
36	SpacesickPrism	1
36	MisfitsMike	1
36	FishisTTV	1
