rank	username	minecraft:crafted/minecraft:diamond_sword
1	joethahobo	416
2	Hyp3rion_	318
3	beeperbeeper5	68
4	Huwulling	67
5	noam464	52
6	pintsizedrogue	29
6	kekhon	29
8	BlankityMcBlank	27
9	Di_infiri	24
10	Yamdalorian	22
11	ApophisNova	20
11	MyNamaSheff	20
13	Akoot_	19
14	miramyu	16
15	Merv__	15
16	Lez_	14
16	djancak	14
18	mwrty	13
18	TheShyPig	13
18	aec9	13
18	Racengan	13
22	Apollo_993	11
22	SmashingPump	11
22	Mahoose	11
22	ConnorDanky_	11
26	CloroxBleach385	10
26	Ryan_GEMS	10
26	eitanzaki	10
26	set67	10
26	oscminus	10
26	luseis	10
26	HellsSponge	10
26	lordpipe	10
26	trexgb	10
35	powercas_gamer	9
35	Frozil20	9
35	KarlKaek	9
35	ActualPatbaf	9
35	Jackattack53	9
35	censorsheep	9
35	pixelviolin	9
35	Segotep999	9
35	EcksD	9
35	Enderxz3	9
45	Groovy_MoonBird	8
45	_Virify_	8
45	Kamflame	8
45	XboxPanda	8
45	ImDisconnected_	8
45	Bumpy419	8
45	EfficientC52	8
45	fluddd	8
45	THEKINGLyric10	8
45	silverpopcorn	8
45	_Meow_Mix	8
45	Razzgriz	8
45	LeeMcGee30	8
45	Skippeh	8
45	00000000-0000-0000-0009-01ff0c3e5e4f	8
60	6king6colt6	7
60	rarrq	7
60	Smashic	7
60	excelsionprime	7
60	legal_tax_evader	7
60	Werbe	7
60	F_Uhre	7
60	Ender_Souls	7
60	MightyWertu	7
60	Njensen7	7
60	FishisTTV	7
71	diamondgolem35	6
71	BlancoFlaco	6
71	Tolhart	6
71	Notta	6
71	gcaisawesome	6
71	CharlieButt	6
71	burbankbuilder28	6
71	tobinwilliams	6
71	Maenara	6
71	IamCL4SSY	6
71	JESS_THE_RERE	6
71	El_Jalapeno	6
71	Spacewardharpy7	6
71	Kura2218	6
71	Eraxa	6
71	__tomato	6
71	Soplight	6
71	Spenduh	6
71	jnp_gaming	6
90	k_ce	5
90	ImpavidArcher	5
90	jimintyy	5
90	T045RTY	5
90	Julmish	5
90	Comma__	5
90	Kubelz	5
90	SeverianOfUrth	5
90	mariominejedi	5
90	_8man	5
90	domagawha	5
90	Kynigito	5
90	NYJ	5
90	Soap_Bender	5
90	claivin	5
90	Groundler	5
90	YungMaki	5
90	xzvu	5
90	alanbleachdemon	5
90	FelixPSY375	5
90	HesDemonPants	5
90	h2p_emrld	5
90	diggydog67	5
113	bigstankyy	4
113	SaucyDark	4
