rank	username	minecraft:crafted/minecraft:lodestone
1	AdmiralSmoke	33
2	Kowcio_	8
2	YungMaki	8
4	Touched_Bread	5
4	noam464	5
4	Enderxz3	5
7	12Magner05	4
7	Manaateee	4
9	SmashingPump	2
9	Mahoose	2
9	Eczbox	2
9	Mattesco	2
9	MineMaster0012	2
9	Eczbek	2
15	teslawolf38	1
15	Sleek_Storm_721	1
15	RebelAndroid	1
15	T045RTY	1
15	Alteriity	1
15	ShedJr_	1
15	Lez_	1
15	Historical_Sand	1
15	lorpus	1
15	Awyrlas	1
15	Inchef	1
15	gcaisawesome	1
15	Winklepicker279	1
15	thewindmillman	1
15	Zythose	1
15	Rebytre	1
15	TheShyPig	1
15	Lord_Jord	1
15	Hahaa_0	1
15	HellsSponge	1
15	FreakGenius	1
15	Segotep999	1
15	ConnorDanky_	1
15	PlasticOtari	1
