rank	username	minecraft:crafted/minecraft:pink_stained_glass_pane
1	lordpipe	496
2	xxPipperDipperxx	352
3	Alteriity	336
4	Yamdalorian	192
5	Lez_	176
5	emreknugrlu	176
7	FreakGenius	160
8	beeperbeeper5	112
9	Billious	96
10	BlancoFlaco	80
10	CoffeeNoir	80
10	El_Jalapeno	80
10	Steelynan	80
10	AltnumberF4	80
15	RoskobiOne	64
15	TheSecondLord	64
15	Onennon	64
15	_Cloverbelle_	64
15	pretty_pink_reno	64
15	Eraxa	64
15	jnp_gaming	64
22	luseis	56
23	pintsizedrogue	48
23	fragrantmonke444	48
23	ooga47	48
23	Blaiku	48
23	tompup	48
23	skitzxo	48
29	livingdaydreams	40
30	EMC_	32
30	corvidpartyfor6	32
30	bl1ss0	32
30	Werbe	32
30	PigDab	32
30	audiocracked	32
30	LexMakesHistory	32
30	MakeHistory157	32
30	LordSpeed37	32
39	HellsSponge	24
40	Merv__	16
40	SaucyDark	16
40	jushykins	16
40	500am	16
40	CollinMH06	16
40	Rumpletaezer	16
40	RebytreGT	16
40	LilLizardWizard	16
40	Manaateee	16
40	Spacewardharpy7	16
40	SvenskaHugo	16
40	pixelviolin	16
40	Kowcio_	16
40	Soplight	16
40	obzii	16
40	KamFurnace	16
40	Jimb0nat0r	16
57	hanaryheatwave	8
57	Reneedium	8
57	YahooScreen9000	8
57	NomadicRobin_	8
57	Meatlaugh	8
