rank	username	minecraft:crafted/minecraft:prismarine_brick_slab
1	HellsSponge	20732
2	Paintz	3666
3	diggydog67	3426
4	Kakolbus	1794
5	oxfordschool	1422
6	EcksD	1378
7	joethahobo	1188
8	Groundler	1164
9	Frozil12	990
10	Smoke____	924
11	Spacewardharpy7	822
12	Natofthese	768
13	PigDab	648
14	noam464	516
15	eitanzaki	390
16	CliffEmAll	384
16	Chromary	384
18	Hyp3rion_	366
19	SammiWolfGirl	300
20	kekhon	290
21	Maenara	282
22	ApophisNova	258
22	MyNamaSheff	258
24	Vorlice	252
25	Bumpy419	216
25	TheShyPig	216
27	ImpavidArcher	180
28	Comma__	156
28	Jackattack53	156
30	sebastiensaborio	150
31	CoffeeNoir	126
31	thescout7	126
31	Zaridey	126
31	Barlycorn	126
31	Enderslayerxz3	126
36	LittleBug562	120
37	Skippeh	108
38	PortlyPete69	84
39	Ezekson	78
40	Drlzyy	72
41	ZoharGoldMine	54
42	The_slideV3	48
43	Soplight	36
44	Arceus1975	32
45	Eraxa	30
45	Vellu21	30
47	KarlKaek	24
47	beeperbeeper5	24
49	jcool7	18
50	Hiryu27	12
51	Mr_Byzantine	6
51	Merv__	6
51	diamondgolem35	6
51	m_be9	6
51	Blu3beast	6
51	Kowcio_	6
