rank	username	minecraft:crafted/minecraft:cracked_polished_blackstone_bricks
1	Yamdalorian	721
2	crying_wolf_13	128
3	pintsizedrogue	121
4	hanaryheatwave	68
5	YungMaki	64
5	DracZz	64
7	pretty_pink_reno	48
8	xxPipperDipperxx	28
9	thewindmillman	16
10	Kubeusz2010	1
