rank	username	minecraft:crafted/minecraft:spectral_arrow
1	Ryan_GEMS	514
2	Hyp3rion_	384
3	xzvu	308
4	DarlaMeow	268
5	doublemaki	134
6	eitanzaki	128
6	emreknugrlu	128
8	Di_infiri	64
9	HellsSponge	57
10	royal_2	50
10	ROY4LE	50
12	miramyu	48
13	Ezekson	36
14	SilentKarma	34
15	ReflexCode	32
16	robonya_	24
17	EcksD	20
18	Lez_	18
19	Hiryu27	16
20	Yamdalorian	12
21	bloodbiter	10
21	PaperCanvas	10
21	audiocracked	10
24	CaptainDeadBread	4
24	Onennon	4
24	es0th	4
24	h2p_emrld	4
28	Bandito_Roamer	2
28	bigstankyy	2
28	hm947	2
28	Hpdinosaur	2
28	SuperPooch06	2
28	oscminus	2
28	Akoot_	2
28	Fuad_R	2
28	claivin	2
28	censorsheep	2
28	Hisiste	2
28	pixelviolin	2
28	djancak	2
28	Kubeusz2010	2
42	QueenShuvi	1
