rank	username	minecraft:crafted/minecraft:jungle_pressure_plate
1	Njensen7	114
2	noam464	64
2	Hyp3rion_	64
2	Werbe	64
5	_TCARREIRA_	24
6	joethahobo	20
7	Huwulling	17
8	jnp_gaming	11
9	SaucyDark	8
9	Airem_Core	8
11	HellsSponge	7
12	rarrq	6
12	KingMatthew506	6
14	EveryonesUncle	5
14	bladeefan2009	5
16	Felenov	4
16	FreakGenius	4
16	SvenskaHugo	4
19	Mahoose	3
19	Fullut	3
19	legal_tax_evader	3
19	Maenara	3
19	Groundler	3
24	FazeObama69	2
24	Mowelan	2
24	Merv__	2
24	beeperbeeper5	2
24	RoofTyler	2
24	Blaiku	2
24	ConnorDanky_	2
31	chrolus	1
31	Incinere	1
31	T045RTY	1
31	Swexti	1
31	mwrty	1
31	drunkeeez	1
31	fluddd	1
31	MightyWertu	1
31	underscore_2	1
31	PlasticOtari	1
