rank	username	minecraft:crafted/minecraft:deepslate_bricks
1	mihimihimihi	37136
2	Hyp3rion_	35516
3	thewindmillman	24768
4	beeperbeeper5	23876
5	weabis	14868
6	hanaryheatwave	8960
7	Fuad_R	8728
8	Jackattack53	8100
9	PazinGaming	7632
10	Segotep999	7220
11	Manaateee	5644
12	Huwulling	5504
13	k_ce	5156
14	00000000-0000-0000-0009-01ff0c3e5e4f	5084
15	ZoomieZoomie	4500
16	MAns_44	4440
17	Gzrdy	4224
18	Winklepicker279	3992
18	Mattesco	3992
20	CattSoup	3576
21	joethahobo	3348
22	thebaddruid	2993
23	12Magner05	2684
24	diamondgolem35	2600
25	catandmoose	2592
26	PaperCanvas	2460
27	iSammael	2304
28	lorywithay	2040
29	PigDab	1856
30	Nicserso	1500
31	rarrq	1296
32	breadbowlgamer	1220
33	fw3xy74	1212
34	pixelviolin	1151
35	QuiCreans	1080
36	Steelynan	1060
37	SpacesickPrism	976
38	EMC_	896
39	teslawolf38	893
40	non089	828
41	bl1ss0	776
41	FishisTTV	776
43	olliebollie48	760
44	KGTV	712
45	Da_Boss_Rani	688
46	Crowman1	640
46	LeEricc	640
48	SvenskaHugo	580
49	RebelAndroid	575
50	Sleepy_Time_	540
51	Mr_Byzantine	525
52	MC_Gamer_Geek	484
53	Ev0luti0nz	456
54	_Huge_Male_	440
55	N00bula	432
56	Smashic	413
57	Boipl	408
58	TheWildMateo	388
59	Dblikstad	336
60	Kowcio_	335
61	nattybears	320
61	Morgf	320
61	Jimi7hits	320
64	Samificator	312
65	Mr_Sun15	304
66	Jimb0nat0r	301
67	Apollo_993	294
68	Werbe	276
69	Elastiq	268
70	NameGenerat0r	260
71	Solar_Power	256
71	ATurtle4936	256
71	fffMike	256
74	skroobiez	232
75	StinkyDiplomat	224
76	BiggieDawg	208
77	Blackberry1310	204
78	Luminad3	200
79	noam464	196
80	sp00ky_ghost977	192
81	CoffeeNoir	184
82	lizardfightclub	140
83	Kamflame	128
83	NATE_the_HALO	128
85	_stets	116
86	floodjon	108
87	Roenfire	100
87	RadarHz	100
89	TheSecondLord	88
90	Spacewardharpy7	80
91	ImpavidArcher	68
91	MSK__	68
91	Tiktola01	68
94	TheWickedBird	66
95	Cellcorgi649	64
95	AstreaTSS	64
97	drunkeeez	60
98	BeardBois	56
98	FormulaNewt3627	56
100	CLG_Kata	48
101	IdeallyGrey	36
102	hm947	34
102	Moofyman	34
104	Lord_Jord	32
104	Ezekson	32
106	Napoleonpancake	31
107	Jekyll	28
108	Wowful	27
108	FreakGenius	27
110	H0UNDFRMH3LL	24
110	2extreeme	24
112	CaracolCxnt	18
113	corpsecity	17
113	Yamdalorian	17
115	benediktine1	16
116	pintsizedrogue	15
116	Olib3ar	15
116	Hahaa_0	15
119	Soplight	14
120	Hydro___________	12
120	crying_wolf_13	12
120	Legendosh	12
123	Nadhorion	11
123	luseis	11
125	Toasty_Tom	10
126	ScootOfBoot	9
127	TooPure2	8
128	fluddd	5
129	JETrotter	4
129	Crynrus	4
129	AltnumberF4	4
132	Reneedium	3
133	crashomon	2
134	Mahoose	1
134	arvous	1
134	Megarboh	1
134	Marbz_	1
134	fragrantmonke444	1
134	Jonafrog99	1
134	Krowuss	1
134	ApophisNova	1
134	tsitrawhy	1
134	MyNamaSheff	1
