rank	username	minecraft:crafted/minecraft:snow_block
1	mihimihimihi	2922173
2	Smoke____	23725
3	thewindmillman	13222
4	Ezekson	11046
5	Mahoose	9141
6	PlasticOtari	8805
7	kekhon	6539
8	Groundler	5805
9	Drawgirl	5785
10	m_be9	4833
11	ProfessorBee	4120
12	xolstoi	3936
13	Mattesco	3917
14	SSytex_X	3410
15	Di_infiri	3395
16	Akoot_	3230
17	xxPipperDipperxx	2596
18	rarrq	2372
19	Lez_	2216
20	Crowman1	2028
21	Historical_Sand	1905
22	Cowison	1764
23	WyngGoy	1744
24	Thaumatarge	1742
25	Merv__	1597
26	CattSoup	1480
27	ROY4LE	1479
28	ZeroAbyssTTV	1329
29	El_Jalapeno	1317
30	Hyp3rion_	1301
31	Gemstuff	1263
32	diamondgolem35	1223
33	Toriankel	1213
34	ApophisNova	1093
34	MyNamaSheff	1093
36	luseis	1074
37	alderban107	974
38	TheShyPig	912
39	SvenskaHugo	909
40	Huwulling	870
41	SuperPooch06	864
42	Blu3beast	846
43	Deathkob	839
44	_Boipl_	823
45	pintsizedrogue	805
46	PhantomsGhost_	794
47	Eraxa	785
48	ooga47	714
49	Tobinator_007	637
50	__tomato	605
51	12Magner05	581
52	M_Patata	571
52	Razzgriz	571
54	beeperbeeper5	554
55	jacxhadow	534
56	lillips	529
57	Spacewardharpy7	452
58	SteveCraftBlocks	444
59	RedcatVII	441
60	MasterNueve	434
61	kyouma777	411
62	JESS_THE_RERE	404
63	asspharte	384
64	Dusk_95	369
65	noam464	358
66	Jimi7hits	357
67	rotten_mango	348
68	SingedBread	338
69	Cocoamallows	332
70	500am	301
71	Hermanni__	286
72	Legendosh	277
73	ImpavidArcher	276
74	Blackberry1310	275
75	Creativebuilder2	273
76	YungMaki	268
77	mwrty	262
78	set67	250
79	slkiey	249
80	_stets	245
81	stuy9	240
82	tramizu	239
83	Motsaro	236
84	Lord_Jord	225
85	Groovy_MoonBird	224
86	bigstankyy	217
87	himak1	213
88	Inchef	200
89	burbankbuilder28	194
90	joethahobo	188
91	SaucyDark	184
92	Vegvisir	182
93	rats_life	177
93	00000000-0000-0000-0009-01ff0c3e5e4f	177
95	teslawolf38	176
96	Natty	172
97	Awyrlas	170
98	FirsTimeGamingTV	167
99	Tolhart	151
100	dabloons	146
100	Fullut	146
100	FlashMigma	146
103	NotSoJamie	141
104	TechnoNinja64	140
105	wezzzi	132
106	CoffeeNoir	126
107	Moetis	125
107	Physics_Breaker	125
109	GlitchyPlate810	124
109	jnp_gaming	124
111	sp00ky_ghost977	123
112	MixerDixer	117
113	SmashingPump	116
114	Arceus1975	110
115	T045RTY	109
116	Jimb0nat0r	105
117	DarlaMeow	104
118	CloroxBleach385	103
118	CaptainAvenger7	103
120	corvidpartyfor6	102
121	fffMike	101
122	HellsSponge	99
123	MustaLoordi	97
124	jushykins	96
124	fr_ser	96
124	Winston_Ingram	96
127	Kowcio_	95
128	Nicky_H225	92
129	h2p_emrld	90
130	RealGroot	88
130	momis24	88
132	ItsAki_	83
133	TheSecondLord	82
133	claivin	82
135	Hpdinosaur	80
136	Enderxz3	79
137	drumine	76
138	420BreadLizard	75
139	_Bguette_	74
140	EcksD	73
141	TheSeismicDuck	72
142	Myszoaz	71
143	Sheldor097	70
144	Jackattack53	69
145	Onennon	68
145	Skippeh	68
147	fkGrim	66
147	EfficientC52	66
149	ShedJr_	65
150	_8man	64
151	k_ce	61
152	Kamflame10	59
153	athereall	58
154	Cartoonmaniac	55
155	Quotary	53
156	ImDisconnected_	52
157	Reamdin	51
158	Sorins	50
159	_Razaria	49
159	ReflexCode	49
161	RoskobiOne	46
161	Frozil20	46
163	Valoth	43
163	IforgotCS_Source	43
165	eviltunix	41
166	voiding_	40
166	scarletwarrior1	40
168	SammiWolfGirl	39
169	legal_tax_evader	38
170	Kubeusz2010	36
171	LordSpeed37	35
171	UrbanPlanningEx	35
173	dartwaffle	34
174	FazeObama69	33
175	lordofthelight95	32
175	trexgb	32
177	djancak	31
178	Ecplosive	30
179	wiqor	29
180	H72l9w	28
