rank	username	minecraft:crafted/minecraft:polished_andesite
1	joethahobo	34764
2	Spacewardharpy7	34368
3	MinttyFressh	21592
4	Xclax101	13185
5	beeperbeeper5	12268
6	Inchef	10868
7	noam464	9344
8	Yamdalorian	8472
9	Hyp3rion_	8084
10	Ezekson	8080
11	Frozil20	8037
12	Legendosh	6568
13	PazinGaming	6560
14	Quotary	6467
15	El_Jalapeno	6276
16	yulgur1	5704
17	MightyWertu	5332
18	miramyu	4632
19	skitzxo	4543
20	Skylord_Luke	3888
21	Werbe	3708
22	Cowison	3700
23	_Huge_Male_	3668
24	ProbsNotNova	3572
25	Jovaphobic	3540
26	TechnoNinja64	3488
27	Fuad_R	3452
28	6king6colt6	3388
29	himak1	3212
30	Zythose	3056
31	VentiHilton	2867
32	EveryonesUncle	2808
33	TheShyPig	2700
34	hanaryheatwave	2676
35	rarrq	2584
36	mihimihimihi	2581
37	NameGenerat0r	2344
38	MoistMicrowave	2264
39	burbankbuilder28	2192
40	Kowcio_	1992
41	Smashic	1936
42	pixelviolin	1892
43	Mr_Byzantine	1784
44	m_be9	1728
45	eitanzaki	1709
46	Mahoose	1706
47	12Magner05	1700
48	ProfessorDiaper	1688
49	teslawolf38	1684
50	Inbefour	1636
51	Sral7	1600
52	Huwulling	1580
53	Jackster03	1564
54	Winklepicker279	1560
54	weabis	1560
56	Alteriity	1536
56	MattieHD	1536
58	Marbz_	1408
59	CaptainDeadBread	1400
60	seramalen	1380
61	Manaateee	1324
62	HellsSponge	1240
63	YungMaki	1200
64	Krowuss	1152
65	Merv__	1148
66	masskedman	1120
67	Maenara	1100
68	thewindmillman	1072
69	_Nuf	1048
70	ROY4LE	1032
70	Onennon	1032
72	The_slideV3	1024
73	4774	984
74	Kakolbus	980
75	__tomato	956
76	Mewar	948
77	Skippeh	940
78	Racengan	928
79	Jackattack53	908
80	_Karmaa	880
81	Lez_	828
82	mawileite	812
83	layabout100	800
84	UncreativeArtist	780
85	Kamflame	777
86	OfficerAnvil	776
87	Malorn_Aetherius	764
87	Snowflowe	764
89	Historical_Sand	728
90	r123moore	724
91	Tyrannosplart	708
92	SSytex_X	700
93	Lord_Zacler	697
94	Wolverine4302	660
95	titanlax	632
96	luseis	630
97	EcksD	624
98	07shiny	620
99	Steelynan	608
100	Di_infiri	604
101	Zaridey	588
102	k_ce	584
102	kekhon	584
102	slkiey	584
105	LeauVox4921	572
105	Optiprimus	572
107	Blu3beast	568
108	Arceus1975	560
109	Da_Boss_Rani	548
110	The_Quack_Dealer	540
111	Matorz	532
112	elliebelle107	528
113	Motsaro	524
114	oscminus	512
114	LazySupport00	512
114	_TCARREIRA_	512
117	Ryan_GEMS	508
117	Warlord324	508
119	SteveCraftBlocks	504
120	XHectorSalamanca	500
121	thescout7	476
122	Boipl	472
123	Zedducius	464
124	obzii	456
125	prizm_	452
125	Samificator	452
127	jcool7	448
128	gcaisawesome	444
129	Chaotic1s	436
130	Fildyr	428
131	Groundler	408
132	Nicserso	400
133	fkGrim	396
133	GoofyBread	396
135	theonlymagikarp	388
136	drunkeeez	384
136	drumine	384
136	sp00ky_ghost977	384
139	CoffeeNoir	380
140	fr_ser	372
140	Fuhrer_Teemo	372
142	platinumzero	368
143	LexMakesHistory	356
144	PaperCanvas	352
145	Jij0	344
146	DSYisDizzy	320
146	fluddd	320
148	NatalieTW	312
148	Mattesco	312
150	XxCookiequeenxX	304
150	legoclone09	304
152	JESS_THE_RERE	300
152	GravitySaint	300
154	bloodbiter	296
155	Otto_chan	292
156	PigDab	280
157	SexcMf	272
158	Tommhh	268
158	Drewen24	268
160	Kijiki	264
160	_3Stump_	264
162	hcb238	260
162	QuesoCrusaderIII	260
164	AlexxO_o	256
164	cedric72	256
164	bpmm	256
164	censorsheep	256
168	NotMeanttoChange	252
168	AnnieBathory	252
170	Gzrdy	248
171	pintsizedrogue	244
172	DermeinUser	240
173	jnp_gaming	228
174	Simon_Lowell	224
174	Tiberonus	224
174	CharlieButt	224
174	TheRealHi	224
178	q_wq	220
178	xxPipperDipperxx	220
180	Flopperdonkey	216
180	TheThomas69	216
182	AlphaWolfPlaysMC	212
183	Donutt	208
184	Jamstroxian	204
185	Sleek_Storm_721	202
186	Myszoaz	200
186	SpacesickPrism	200
188	Touched_Bread	196
189	Jakobo1337	192
189	_Dean_123	192
189	Shogunite	192
189	StinkyDiplomat	192
189	lordpipe	192
194	Helena59thug	188
195	Froste131	184
195	EMC_	184
195	selectrix	184
198	Eraxa	180
198	djancak	180
200	Meatlaugh	176
201	_stets	172
201	Zoeyfortnite	172
203	ZoomieZoomie	168
204	RobotMinion101	164
204	Ajax6	164
204	Lord_Jord	164
204	Renchi19	164
208	seanitoo	160
209	G1ldor	156
209	PortlyPete69	156
211	BilboBaggins23	152
211	Bazongoman	152
213	TheSecondLord	148
213	WyngGoy	148
213	Soplight	148
216	Lotheburgh	144
216	RefluxRatio	144
218	diamondgolem35	140
218	MyNameIsJobo	140
220	Ssor69	137
221	Shin69	136
222	cog	132
222	h2p_emrld	132
224	Allanon1235	130
225	tuckerdoodle	128
225	Auseawesome	128
225	excelsionprime	128
225	Beezel	128
225	RebytreGT	128
225	HyperCave	128
225	GooseWithin	128
225	wezzzi	128
225	audiocracked	128
225	fffMike	128
235	BodaciousCake	124
236	MrExplorer	116
236	spellmre	116
238	ryan521	108
238	Invisie	108
240	SammiWolfGirl	104
241	Dreamdbr14	100
242	ImpavidArcher	96
242	Mariopreeet	96
242	fw3xy74	96
242	ReflexCode	96
242	ElKaySVK	96
242	kyouma777	96
242	snizv1	96
249	Bobby808	92
249	CrateOfBoxes	92
249	xX_Stalin69_Xx	92
252	Comma__	88
252	Hiryu27	88
252	Elastiq	88
255	Chroikey	84
255	mobunni	84
255	ConnorDanky_	84
258	Groovy_MoonBird	80
258	Hpdinosaur	80
258	WORLDENDVALHALLA	80
258	godipose	80
262	lorpus	76
262	Felenov	76
262	HesDemonPants	76
265	Eraza	72
265	ARandomHedge	72
265	dedgt	72
268	chipklip	68
268	tortfeezy	68
268	olliebollie48	68
268	Chrisdeadeye	68
268	Jimb0nat0r	68
273	SyK7	64
273	dabloons	64
273	Alphanzt99	64
273	Tombo2004	64
273	Blackberry1310	64
273	Notta	64
273	Sloths_Ender	64
273	Awyrlas	64
273	Blazebit	64
273	PegLegPete93	64
273	NoxxxxiS	64
273	Freeman666	64
273	Doom_melon	64
273	Bumpy419	64
273	Shiirazu	64
273	fkndweeb	64
273	AspenLightVT	64
273	Dakar_	64
273	Avocadogerms	64
273	blackeemperor	64
273	BumbleBeever	64
273	Buuck_	64
273	Vicemaniac	64
273	Soul_Atreus	64
273	Pumpkin_P_Patch	64
273	Luigipunch989	64
273	xof_on_microwave	64
273	_Wannabe_	64
