rank	username	minecraft:crafted/minecraft:pink_banner
1	lordpipe	128
2	Ezekson	33
3	beeperbeeper5	29
4	Legendosh	28
5	noam464	18
6	500am	17
7	eitanzaki	12
8	Werbe	11
9	Jiminie	10
10	kekhon	9
11	Smoke____	8
12	joethahobo	6
13	KeruNatsema	5
13	LordSpeed37	5
15	Incinere	4
15	chipklip	4
15	lcvezra	4
18	pintsizedrogue	2
18	Chromary	2
18	NomadicRobin_	2
18	HellsSponge	2
18	EcksDofficial	2
23	ewsophie	1
23	TheFlfthHorseman	1
23	xxPipperDipperxx	1
23	TheShyPig	1
23	MakeHistory157	1
23	starbits140	1
23	LeeMcGee30	1
23	mobunni	1
