rank	username	minecraft:crafted/minecraft:stone_brick_stairs
285	KevinLikesPie	60
286	Yahir091	58
287	6king6colt6	57
287	TheDankPlatypus	57
289	SaphLaseer	56
289	Ozixar	56
289	andy_rex	56
289	Onennon	56
289	GooseWithin	56
289	silverpopcorn	56
289	Spenduh	56
289	bitsplease	56
289	mobunni	56
298	smarticuno	53
299	RoskobiOne	52
299	LittleBug562	52
