rank	username	minecraft:crafted/minecraft:gold_block
1	Hyp3rion_	167488
2	thewindmillman	46610
3	Jackattack53	25738
4	Spacewardharpy7	23600
5	_Mythic____	17204
6	hanaryheatwave	10479
7	Blaiku	9742
8	MilleGrug	8515
9	AdmiralSmoke	7264
10	noam464	6405
11	MightyWertu	6163
12	eitanzaki	5871
13	NomadicRobin_	4805
14	mihimihimihi	4507
15	gcaisawesome	3550
16	joethahobo	3294
17	Marbz_	3248
18	beeperbeeper5	3228
19	Frozil20	3156
20	YungMaki	3017
21	Racengan	2149
22	Historical_Sand	1903
23	Groundler	1814
24	PigDab	1748
25	EcksD	1543
26	RebelAndroid	1514
27	ConnorDanky_	1443
28	pintsizedrogue	1344
29	Lord_Jord	1284
30	Kakolbus	1252
31	lillips	1215
32	PhantomsGhost_	1202
33	Enderxz3	1197
34	MattieHD	1189
35	ZeroKraken	1180
36	Di_infiri	1067
37	WyngGoy	983
38	Mahoose	942
39	Hisiste	895
40	r123moore	796
41	HellsSponge	764
42	diggydog67	724
43	Snowflowe	671
44	Fullut	657
44	fade_emerge78823	657
46	EngagedGrub41	527
47	TheShyPig	521
48	FreakGenius	517
49	kekhon	476
50	set67	458
51	DanTheBuilderino	437
52	TheSecondLord	426
53	RadarHz	421
54	CLG_Kata	419
55	ApophisNova	416
55	MyNamaSheff	416
57	ROY4LE	413
58	Kyrum2169	405
59	luseis	353
60	masskedman	346
61	Legendosh	340
62	Creativebuilder2	337
63	500am	333
64	Manaateee	330
65	Nicserso	312
66	fw3xy74	303
67	PazinGaming	301
67	_i_ERROR_i_	301
69	NatalieTW	298
70	rarrq	297
71	Iamthejo	284
72	MineMaster0012	282
73	livingdaydreams	271
74	Lutres_	270
75	_Virify_	266
76	MakeHistory157	264
77	Skylord_Luke	260
78	yulgur1	259
79	Da_Boss_Rani	227
80	Skippeh	223
81	TechnoNinja64	220
82	yheece	215
83	xzvu	214
84	Kowcio_	211
85	vandmanden	207
86	Groovy_MoonBird	205
86	Steelynan	205
88	Megarboh	203
89	alderban107	202
90	KartivGal	195
91	m_be9	194
91	oscminus	194
91	claivin	194
94	OrewaSora	190
95	Inbefour	185
96	2blox_	182
97	Werbe	178
98	Bumpy419	174
99	AuroraValkyrie	167
100	wezzzi	166
101	PlasticOtari	165
102	LeEricc	155
103	Njensen7	152
104	6king6colt6	147
105	ProfessorBee	145
105	mariominejedi	145
107	Segotep999	143
108	Airem_Core	140
109	SaintJosie	139
110	corvidpartyfor6	138
111	calamariclam_I	137
112	lordpipe	135
113	censorsheep	134
114	EMC_	133
114	diamondgolem35	133
114	QuiCreans	133
117	SmashingPump	131
117	mwrty	131
119	Z3braYTIL	130
120	shineh10	128
121	legal_tax_evader	126
121	sp00ky_ghost977	126
123	Lez_	125
124	KSI	121
124	_TCARREIRA_	121
126	Ryan_GEMS	118
127	Mewar	116
128	Blackberry1310	114
129	Jimb0nat0r	113
130	H72l9w	111
131	Rumpletaezer	110
131	MAns_44	110
133	MinttyFressh	109
134	_Nuf	104
135	SuperPooch06	103
136	Awyrlas	101
137	Corbsman	100
138	F_Uhre	99
138	Cocoamallows	99
140	Eraxa	98
140	fffMike	98
142	SingedBread	97
143	12Magner05	96
144	Deathkob	94
145	Kubelz	92
146	Akoot_	90
146	Ezekson	90
148	Xclax101	89
149	Dogcorn69420	85
150	fanofbands101	84
150	lcvezra	84
152	SaucyDark	82
152	jnp_gaming	82
154	PortlyPete69	81
155	Myszoaz	80
155	excelsionprime	80
157	bloodbiter	79
158	xPixelRainx	78
159	Fuad_R	77
160	Arceus1975	76
161	Zaridey	74
161	Jimi7hits	74
163	MoistMicrowave	73
164	soundad	72
165	KarlKaek	71
165	PeteO1995	71
167	Houstonion	68
168	TooManyDuck	67
168	Vizzoid	67
168	thescout7	67
168	prizm_	67
172	Lepthymo	66
172	Sleepy_Time_	66
172	Maenara	66
175	BlancoFlaco	64
175	Wooptey	64
175	PhantomBionic	64
175	cedric72	64
175	LexMakesHistory	64
175	PlzNoBM	64
181	jcool7	62
182	RefluxRatio	61
182	Onennon	61
184	teslawolf38	59
184	Rocco_Lane	59
184	SSytex_X	59
184	Dreamdbr14	59
188	Ecplosive	58
188	djancak	58
188	__tomato	58
191	Leyna3	57
191	fluddd	57
193	UncreativeArtist	56
193	Tyrannosplart	56
193	ayamefag	56
196	Quaintster	55
196	Steve897	55
198	audiocracked	54
198	EfficientC52	54
200	HolyVenom	53
200	DarlaMeow	53
200	CalebDHawk	53
203	LeauVox4921	52
204	Sleek_Storm_721	51
204	KGTV	51
204	TheSeismicDuck	51
207	Covalents	50
207	pixelviolin	50
209	MuffinManzz	48
209	Sabby65	48
209	DermeinUser	48
209	RedcatVII	48
213	Alteriity	47
213	M_Patata	47
213	MasterNueve	47
216	T045RTY	46
216	SlayerCrypto	46
216	Luigipunch989	46
216	skrongus	46
220	Noah_Bez	45
220	CharlieButt	45
220	anbbang	45
223	TheDankPlatypus	44
223	1442	44
223	technic_squirrel	44
223	_Meow_Mix	44
227	Merv__	43
227	CaptainDeadBread	43
227	fkGrim	43
227	SvenskaHugo	43
231	lotarp	42
231	Touched_Bread	42
231	Nyxiom_	42
231	SammiWolfGirl	42
235	CliffEmAll	41
235	ClemenPine	41
235	Heisenbberrg	41
235	FelixPSY375	41
239	ShedJr_	39
239	AnnieBathory	39
241	poopybh	38
241	Winklepicker279	38
241	EveryonesUncle	38
244	Thaumatarge	37
244	shadowthemonkey	37
244	07shiny	37
244	Sheldor097	37
248	Reamdin	36
248	Vorlice	36
248	Powowowow	36
251	TAKrules	35
251	G1ldor	35
251	Eraza	35
251	Paintz	35
