rank	username	minecraft:crafted/minecraft:dark_prismarine_slab
1	EcksD	16657
2	gcaisawesome	11783
3	12Magner05	3738
4	MightyWertu	1446
5	Zythose	1152
6	Spacewardharpy7	912
7	Marbz_	852
8	Blaiku	780
9	Hermanni__	690
10	Werbe	642
11	KarlKaek	546
12	eitanzaki	504
13	CoffeeNoir	497
14	oxfordschool	438
15	pintsizedrogue	402
16	Chromary	396
17	EveryonesUncle	390
18	PigDab	384
19	Skylord_Luke	360
20	EcksDofficial	336
21	Mr_Byzantine	330
22	PlasticOtari	312
22	YoshikageBites	312
24	beeperbeeper5	294
25	Winklepicker279	240
26	Drlzyy	156
26	TheShyPig	156
28	Dusk_95	150
29	Ezekson	130
30	CliffEmAll	126
31	Racengan	102
32	Soplight	96
33	SokaOtaku	84
34	rarrq	72
34	Skippeh	72
36	Frozil20	60
37	LeGold	54
37	2blox	54
39	NameGenerat0r	36
40	Eraxa	30
40	Steelynan	30
42	thewindmillman	20
43	LittleBug562	18
43	Fullut	18
43	Arceus1975	18
43	groofles	18
43	Maenara	18
48	noam464	12
48	Bumpy419	12
48	The_slideV3	12
48	Barlycorn	12
48	djancak	12
53	Snowflowe	8
54	titanlax	6
54	m_be9	6
54	shyshyannne	6
54	Smashic	6
54	Hiryu27	6
54	Kubeusz2010	6
54	EngagedGrub41	6
54	Enderslayerxz3	6
62	RebelAndroid	4
