rank	username	minecraft:crafted/minecraft:blackstone_wall
1	Billious	408
2	T045RTY	402
3	Jackattack53	384
4	Shogunite	300
5	set67	240
6	Werbe	216
7	AdmiralSmoke	194
8	jessewegottacook	174
9	PlasticOtari	171
10	Xalithia	120
11	weabis	108
12	Deathkob	75
13	noam464	72
14	Miroryk	66
14	Spacewardharpy7	66
14	Nicserso	66
17	joethahobo	60
17	benediktine1	60
17	Manaateee	60
20	TheWildMateo	48
21	thewindmillman	39
22	Spenduh	36
23	Soplight	29
24	Myszoaz	24
24	Di_infiri	24
24	FreakGenius	24
24	wwwwinnebagoooo	24
28	HellsSponge	20
29	chipklip	18
29	KarlKaek	18
31	Mattesco	16
32	beeperbeeper5	15
33	Blackberry1310	12
33	OreTheBear	12
33	Steelynan	12
36	k_ce	9
37	soundad	6
37	Gundam_Steven	6
37	Lez_	6
37	Eraxa	6
37	CattSoup	6
42	Fullut	1
42	shadowthemonkey	1
42	Quinasin	1
