rank	username	minecraft:crafted/minecraft:light_blue_bed
1	noam464	314
2	Segotep999	157
3	eitanzaki	85
4	HellsSponge	69
5	rarrq	64
6	Blu3beast	63
7	12Magner05	53
8	500am	43
8	ConnorDanky_	43
10	CowOfTheNile	34
11	ayamefag	33
12	2blox_	32
13	Manaateee	31
14	Chickenchaser2	24
14	TheEnderMan548	24
14	PlasticOtari	24
17	nocturne78	21
18	kekhon	19
18	IdeallyGrey	19
20	pixelviolin	15
21	pintsizedrogue	12
22	joethahobo	11
23	AdmiralSmoke	9
24	TheShyPig	7
25	RoskobiOne	6
25	Ezekson	6
27	_Dean_123	5
27	hanaryheatwave	5
27	Fakiuss	5
30	beeperbeeper5	4
31	Lez_	3
31	Arceus1975	3
31	FishyBoy3811	3
31	fluddd	3
35	Deu_Stew	2
35	soundad	2
35	SaucyDark	2
35	ShedJr_	2
35	prizm_	2
35	legal_tax_evader	2
35	Donutt	2
35	Werbe	2
35	Akoot_	2
35	_Karmaa	2
35	ewpunk	2
35	wwwwinnebagoooo	2
35	Kowcio_	2
35	Steelynan	2
35	Enderxz3	2
35	Tristankill	2
51	Groovy_MoonBird	1
51	Mr_Byzantine	1
51	dabloons	1
51	SmashingPump	1
51	Merv__	1
51	Ailmast	1
51	Huwulling	1
51	Reamdin	1
51	Mahoose	1
51	Blackberry1310	1
51	SnowyAvi	1
51	ashetrays	1
51	SoftSix	1
51	eclipseboi	1
51	Scathra	1
51	TableTim	1
51	Jackattack53	1
51	Chromary	1
51	Mattesco	1
51	YahooScreen9000	1
51	MrQuanQuan	1
51	FreakGenius	1
51	El_Jalapeno	1
51	3_Solar_3	1
51	monky_irl	1
51	PabloGonza02	1
51	Eraxa	1
51	MineMaster0012	1
51	BlankityMcBlank	1
51	djancak	1
51	SSytex_X	1
51	Dogcorn69420	1
51	Winston_Ingram	1
51	ZoomieZoomie	1
51	laron58	1
51	RadarHz	1
