rank	username	minecraft:crafted/minecraft:paper
1	Hyp3rion_	576495
2	Lez_	204270
3	joethahobo	166234
4	HellsSponge	135221
5	beeperbeeper5	92228
6	Mahoose	82531
7	oscminus	72766
8	noam464	63174
9	Di_infiri	53994
10	Yamdalorian	51099
11	lordpipe	45231
12	Snowflowe	45075
13	Frozil20	44429
14	PigDab	43163
15	Spacewardharpy7	42284
16	TheShyPig	36994
17	Kowcio_	36330
18	MAns_44	35597
19	pintsizedrogue	33206
20	Werbe	33077
21	Jackattack53	31601
22	fffMike	30357
23	sp00ky_ghost977	29750
24	DanTheBuilderino	28922
25	Soplight	27890
26	thescout7	26999
27	PlasticOtari	26268
28	EveryonesUncle	25048
29	eitanzaki	24777
30	YungMaki	24723
31	MightyWertu	24082
32	Bumpy419	22407
33	ConnorDanky_	21403
34	Ezekson	20916
35	F_Uhre	20084
36	Blaiku	19949
37	hermmm_	19723
38	skitzxo	19555
39	FreakGenius	19073
40	Legendosh	18210
41	Lord_Jord	17985
42	Huwulling	17978
43	EdGalbraith	16704
44	Spenduh	16466
45	Enderxz3	16401
46	_Virify_	16221
47	NoChumpChange	14745
48	Inchef	14145
49	luseis	14021
50	500am	14013
51	Merv__	13932
52	pixelviolin	13878
53	EMC_	13797
54	EcksD	13063
55	Fullut	12754
56	Dogcorn69420	12705
57	mwrty	12614
58	Historical_Sand	12372
59	_Mythic____	11193
60	Cowison	11164
61	Zoeyfortnite	11108
62	Mattesco	11008
63	12Magner05	10707
64	tuckerdoodle	10479
65	ZaneABrain	10361
66	jnp_gaming	10089
67	Marbz_	9940
68	Njensen7	9291
69	Kakolbus	9256
70	xxPipperDipperxx	8262
71	vandmanden	8106
72	ougstur	8100
73	TheSecondLord	7839
74	Awyrlas	7698
75	KingMatthew506	7345
76	Blackberry1310	7338
77	Sral7	7128
78	rarrq	7035
79	ayamefag	7026
80	Zythose	6993
81	El_Jalapeno	6915
82	TheDankPlatypus	6905
83	abdomera	6846
84	SkateboardR6	6633
85	NomadicRobin_	6624
86	masskedman	6617
87	Inbefour	6613
88	RebelAndroid	6592
89	fluddd	6489
90	m_be9	6483
91	set67	6462
92	__tomato	6425
93	Chromary	6354
94	thgrocks	6323
95	Hpdinosaur	6300
96	Alteriity	6222
97	OreTheBear	6188
98	Frxnkz	6106
99	Akoot_	6056
100	k_ce	5892
101	JayToe	5834
102	StinkyDiplomat	5643
103	SellyZ	5582
104	PazinGaming	5559
105	diggydog67	5493
106	kalzor	5271
107	calamariclam_I	5250
108	ApophisNova	5206
108	MyNamaSheff	5206
110	Apollo_993	5193
111	Smashic	5162
112	Deodorante	5154
113	Steelynan	5152
114	Jimb0nat0r	5114
115	legal_tax_evader	5036
116	diamondgolem35	4838
117	Ryker	4830
118	Hiryu27	4764
119	TechnoNinja64	4742
120	claivin	4695
121	soundad	4686
122	Mr_Byzantine	4641
123	MilleGrug	4587
123	Kateesaur	4587
125	mihimihimihi	4543
126	Ryan_GEMS	4503
127	eiC_	4479
128	fade_emerge78823	4477
129	excelsionprime	4468
130	PlzNoBM	4464
131	jspwn	4413
132	IamCL4SSY	4320
133	KarlKaek	4266
134	Jimi7hits	4242
134	Eczbek	4242
136	ActualPatbaf	4206
137	himak1	4182
138	thewindmillman	4171
139	Arceus1975	4044
140	skroobiez	4022
141	Skylord_Luke	4002
142	emreknugrlu	3984
143	Hisiste	3960
144	Segotep999	3912
145	TheSandwhich_	3881
146	Tyrannosplart	3803
147	Winklepicker279	3768
148	Krowuss	3759
149	Hoid_the_Roamer	3708
150	ThePoliteG	3693
151	_Dean_123	3684
152	r123moore	3679
153	Racengan	3663
154	Kyrum2169	3658
155	MinttyFressh	3627
156	AuroraValkyrie	3610
157	Vizzoid	3601
158	sufjanlover	3535
159	Xclax101	3516
160	6king6colt6	3489
161	Crizma_	3456
162	teslawolf38	3441
163	_3Stump_	3423
164	SingedBread	3411
165	Rumpletaezer	3342
166	xzvu	3162
166	BungalowBeet	3162
168	Soap_Bender	3085
169	CLG_Kata	3072
170	q_wq	3021
171	Powowowow	2997
172	SaucyDark	2957
173	NATE_the_HALO	2899
174	_i_ERROR_i_	2796
175	AlexxO_o	2789
176	Sheldor097	2774
177	CharlieButt	2760
178	Gus2005	2747
179	bloodbiter	2730
180	RebytreGT	2696
181	NameGenerat0r	2691
182	bl1ss0	2621
183	SuperPooch06	2546
184	KingFaenor	2541
184	CoffeeNoir	2541
186	TheWickedBird	2446
187	Groovy_MoonBird	2328
188	kekhon	2325
189	emrekn	2304
189	Samificator	2304
189	ReyTheLegend	2304
192	Gregward_Smith	2265
193	obzii	2238
194	Eraxa	2229
195	PortlyPete69	2223
196	hm947	2172
197	BodaciousCake	2148
198	2blox_	2128
199	T045RTY	2109
200	Pumpkin_P_Patch	2094
201	ProfessorBee	2085
202	Comma__	2079
203	SvenskaHugo	2058
204	ZeroKraken	2046
205	taengoos	2017
206	Archsam	2001
207	chipklip	1983
208	PegLegPete93	1977
209	Yatitay	1950
210	SlayerCrypto	1944
211	censorsheep	1926
212	Leeeegend	1912
213	CollinMH06	1898
214	Hyugo	1893
215	AstreaTSS	1881
216	MattieHD	1860
217	DarlaMeow	1854
218	TachibanaAkira	1848
218	_Karmaa	1848
218	Cocoamallows	1848
218	HesDemonPants	1848
222	PhantomsGhost_	1839
223	I_Am_Mushkin	1821
224	jacxhadow	1818
225	__Auspicious	1812
226	SammiWolfGirl	1806
227	MakeHistory157	1803
228	SpacesickPrism	1788
229	VentiHilton	1779
230	kkatsuragi	1761
231	_8man	1752
232	Eczbox	1713
233	RadarHz	1695
234	Blu3beast	1671
235	Dakar_	1635
236	ROY4LE	1632
237	FishisTTV	1625
238	SquadMonster	1590
239	XboxPanda	1566
240	H0UNDFRMH3LL	1563
241	Felenov	1554
242	ImDisconnected_	1550
243	blackeemperor	1545
244	Factoroni	1536
245	King_Pancake1	1533
246	fw3xy74	1522
247	TheBananaKat	1500
248	Touched_Bread	1488
248	Manaateee	1488
250	XxCookiequeenxX	1467
251	Incinere	1458
252	Masssonnn	1457
253	zToasty69z	1437
254	eviltunix	1435
255	WET_WET_WET	1419
256	limeloaf	1410
257	FelixPSY375	1407
258	Bolete	1368
259	Crowman1	1341
259	Covalents	1341
261	Nicserso	1338
262	mimbo1211	1333
263	Saucepeh	1332
264	djancak	1293
265	KlausVonStiglitz	1284
266	ReflexCode	1281
267	trexgb	1275
268	Kim_Jong_eel	1257
269	TheImperial	1245
270	Onennon	1227
271	SSytex_X	1221
272	DemTechAlpha	1215
273	Fuhrer_Teemo	1209
274	mariominejedi	1201
275	burbankbuilder28	1194
276	True_Clipse	1182
277	shadowthemonkey	1164
278	RoskobiOne	1158
279	EKUG	1155
279	surfinggiraffejp	1155
281	GooseWithin	1152
282	Harotio	1146
283	Bandito_Roamer	1143
284	MSK__	1136
285	EngagedGrub41	1134
286	Gundam_Steven	1122
287	yheece	1119
288	Zaridey	1083
289	UrbanPlanningEx	1074
290	epiksk8erduck	1071
291	RatatJuice	1068
292	miramyu	1059
293	Jovaphobic	1038
294	HoltGrim	1026
295	bigstankyy	1011
296	Euclidoris	1008
297	301851	998
298	bloomkieren	978
299	livingdaydreams	972
300	EfficientC52	969
