rank	username	minecraft:crafted/minecraft:mud_brick_stairs
1	TheWickedBird	376
2	Mr_Byzantine	251
3	luseis	148
4	pixelviolin	123
5	Merv__	81
6	_Huge_Male_	54
7	Dakar_	52
8	Manaateee	44
9	Iamthejo	36
10	Lez_	32
11	Steelynan	28
12	SpacesickPrism	21
13	EMC_	16
14	Pumpkin_P_Patch	12
15	skroobiez	8
15	CarryLine	8
17	Soplight	6
