rank	username	minecraft:crafted/minecraft:cherry_wood
1	11Brewer	2557
2	Apollo_993	1209
3	Dynamic_wolf_1	1017
4	KarlKaek	690
5	SpacesickPrism	597
6	PazinGaming	384
7	Merv__	342
7	Yamdalorian	342
9	Mr_Sun15	288
10	Kowcio_	192
11	Enderxz3	189
12	Pumpkin_P_Patch	126
13	Alteriity	84
14	StarCookiees_	81
15	pintsizedrogue	63
16	RebytreGT	60
17	Lez_	39
18	lordpipe	36
19	Mr_Byzantine	24
20	myaccountwasgone	12
20	Reneedium	12
22	oscminus	9
23	OreTheBear	6
23	XxCookiequeenxX	6
23	luseis	6
23	pixelviolin	6
27	k_ce	3
27	TheSecondLord	3
27	MattieHD	3
27	PaperCanvas	3
27	Manaateee	3
