rank	username	minecraft:crafted/minecraft:brown_shulker_box
1	thewindmillman	193
2	pintsizedrogue	24
3	500am	23
4	TheSecondLord	16
5	jnp_gaming	14
6	Akoot_	12
6	oxfordschool	12
8	YungMaki	10
9	OtariCharlie	9
9	HellsSponge	9
11	Hyp3rion_	8
11	lordpipe	8
13	mwrty	7
14	m_be9	6
14	ApophisNova	6
14	stahouo	6
14	MyNamaSheff	6
18	wezzzi	5
18	sp00ky_ghost977	5
20	joethahobo	4
20	Bumpy419	4
20	Frozil12	4
20	Groundler	4
20	Nicserso	4
25	Fullut	3
25	gabriels543	3
25	Rumpletaezer	3
25	Deathkob	3
25	Ezekson	3
25	Enderslayerxz3	3
25	Smoke____	3
32	Mahoose	2
32	Historical_Sand	2
32	Blackberry1310	2
32	kekhon	2
32	NameGenerat0r	2
32	claivin	2
32	pixelviolin	2
32	SammiWolfGirl	2
40	Groovy_MoonBird	1
40	_NieToksikpl_	1
40	PhantomsGhost_	1
40	Merv__	1
40	AuroraValkyrie	1
40	6king6colt6	1
40	Houstonion	1
40	Dedalus36	1
40	TooManyDuck	1
40	Hpdinosaur	1
40	Myszoaz	1
40	beeperbeeper5	1
40	Euclidoris	1
40	Cryptacity	1
40	jushykins	1
40	bloodbiter	1
40	SteveCraftBlocks	1
40	Awyrlas	1
40	emrekn	1
40	Xalithia	1
40	SellyZ	1
40	r123moore	1
40	noam464	1
40	Ecplosive	1
40	Snowflowe	1
40	MangoTheFish	1
40	pappaberg	1
40	Skylord_Luke	1
40	Werbe	1
40	cedric72	1
40	TheShyPig	1
40	yulgur1	1
40	audiocracked	1
40	EveryonesUncle	1
40	Karbl	1
40	_Karmaa	1
40	Quaintster	1
40	AssEatrAndLicker	1
40	Xclax101	1
40	Steven1282598	1
40	MightyWertu	1
40	Hisiste	1
40	Xovalt_	1
40	OG_Songsee	1
40	Cocoamallows	1
40	Razzgriz	1
40	Soplight	1
40	Dogcorn69420	1
40	sebastiensaborio	1
40	Kubeusz2010	1
40	Skippeh	1
40	JayToe	1
