rank	username	minecraft:crafted/minecraft:smithing_table
1	Mattesco	537
2	PlasticOtari	189
3	eitanzaki	130
4	NameGenerat0r	115
5	pintsizedrogue	76
5	500am	76
7	m_be9	71
8	luseis	70
9	lillips	65
10	emrekn	64
10	Di_infiri	64
12	Kowcio_	49
13	HellsSponge	46
14	Jackattack53	36
15	FishyBoy3811	33
16	TheShyPig	22
17	EMC_	18
18	FreakGenius	17
19	Hyp3rion_	15
19	Smoke____	15
21	gcaisawesome	14
22	Racengan	13
23	12Magner05	12
23	thescout7	12
25	joethahobo	9
26	Historical_Sand	8
26	kekhon	8
26	noam464	8
26	PigDab	8
26	ClemenPine	8
26	MirielThePastor	8
32	Hisiste	7
32	07shiny	7
34	H0UNDFRMH3LL	6
34	Iagoku	6
34	Smashic	6
34	Inchef	6
34	Bucscw24	6
34	El_Jalapeno	6
34	Blaiku	6
41	Snowflowe	5
41	Skylord_Luke	5
41	starbits140	5
41	Steelynan	5
41	Sral7	5
46	_Virify_	4
46	diamondgolem35	4
46	beeperbeeper5	4
46	TheSecondLord	4
46	jacxhadow	4
46	XboxPanda	4
46	EveryonesUncle	4
46	obzii	4
54	Jovaphobic	3
54	Apollo_993	3
54	gren_ben	3
54	Esme_1	3
54	T045RTY	3
54	set67	3
54	legal_tax_evader	3
54	Rebytre	3
54	SaintJosie	3
54	JESS_THE_RERE	3
54	RoofTyler	3
54	_Karmaa	3
54	Spacewardharpy7	3
54	YungMaki	3
54	Soplight	3
54	Eczbek	3
54	Ezekson	3
54	Enderxz3	3
72	Bandito_Roamer	2
72	Mr_Byzantine	2
72	chipklip	2
72	RoskobiOne	2
72	Cowison	2
72	SmashingPump	2
72	hm947	2
72	Wooptey	2
72	RebelAndroid	2
72	rarrq	2
72	Euclidoris	2
72	Ozixar	2
72	NieToksikpl	2
72	Blackberry1310	2
72	Comma__	2
72	Megarboh	2
72	Kamflame10	2
72	mwrty	2
72	Awyrlas	2
72	Eraza	2
72	PegLegPete93	2
72	Xalithia	2
72	Kubelz	2
72	TheDankPlatypus	2
72	whoaluv	2
72	Arceus1975	2
72	thewindmillman	2
72	Zythose	2
72	Fast_Turtle	2
72	ApophisNova	2
72	Werbe	2
72	Kim_Jong_eel	2
72	Dan_Scha	2
72	Maenara	2
72	Lord_Jord	2
72	fw3xywashere	2
72	NomadicRobin_	2
72	Deodorante	2
72	MinuteMira	2
72	Blu3beast	2
72	Nycteus_	2
72	GoofySilly	2
72	MS_Pryxx	2
72	ProfessorDiaper	2
72	mihimihimihi	2
72	UCP_TheKingK	2
72	RealGroot	2
72	Nekomin0	2
72	Luigipunch989	2
72	Heisenbberrg	2
72	Deguns123	2
72	ThisUserIsStump	2
72	EngagedGrub41	2
72	RadarHz	2
72	MyNamaSheff	2
72	2bolx_	2
72	diggydog67	2
129	MunkaKris	1
129	k_ce	1
129	MuffinManzz	1
129	JohnnyFyes	1
129	SyK7	1
129	FazeObama69	1
129	PhantomsGhost_	1
129	ganyuganyu	1
129	CadenSteele	1
129	Paint	1
129	_stets	1
129	BPTY4618	1
129	PizzaJake	1
129	squigglybones	1
129	soundad	1
129	teslawolf38	1
129	q_wq	1
129	Yatitay	1
129	Frozil20	1
129	6king6colt6	1
129	Sleek_Storm_721	1
129	I_Am_Mushkin	1
129	chimpmunker	1
129	Houstonion	1
129	bigstankyy	1
129	Creativebuilder2	1
129	DinoDoctor_	1
129	LeDuctTape	1
129	ImpavidArcher	1
129	SaucyDark	1
129	TooManyDuck	1
129	Tolhart	1
129	RatatJuice	1
129	Hpdinosaur	1
129	Flores991	1
129	_Razaria	1
129	tuckerdoodle	1
129	Zippyzam	1
129	Incinere	1
129	Ryker	1
129	livingdaydreams	1
129	youhjjhhhjj	1
129	Alteriity	1
129	Seyaboy	1
129	TAKrules	1
129	ThiccExotic	1
129	NinjaKnifeKill	1
129	Mahoose	1
129	_themselves	1
129	ShedJr_	1
129	Lez_	1
129	stevewithclout	1
129	ITDV	1
129	H72l9w	1
129	gaziter10	1
129	Swexti	1
129	Da_Boss_Rani	1
129	Alphanzt99	1
129	Ssor69	1
129	FirsTimeGamingTV	1
129	chlorinex	1
129	Stynxy	1
129	arvous	1
129	cheerytomato	1
129	xPixelRainx	1
129	jushykins	1
129	BobDeBouwer1337	1
129	Chickenchaser2	1
129	mattybeewrapss	1
129	bloodbiter	1
129	Cortexia	1
129	zorin123	1
129	Sloths_Ender	1
129	CyrusIsTired	1
129	Fullut	1
129	crying_wolf_13	1
129	Kkanot	1
129	4774	1
129	paranoid_plant	1
129	Yirtle	1
129	_Magdo_	1
129	NotTrixi	1
129	eviltunix	1
129	SUSUGAM	1
129	__TheNorseMan__	1
129	theonlymagikarp	1
129	r123moore	1
129	Covalents	1
129	LittleIan365	1
129	Touched_Bread	1
