rank	username	minecraft:crafted/minecraft:polished_deepslate_slab
1	Jackattack53	4408
2	Winklepicker279	1914
3	Fuad_R	1196
4	EMC_	1128
5	titanlax	1092
6	Spacewardharpy7	529
7	Inchef	270
8	thewindmillman	258
9	TheWildMateo	252
10	Touched_Bread	246
11	Mattesco	152
12	StinkyDiplomat	150
13	lizardfightclub	126
13	fffMike	126
15	mobunni	90
16	Hermanni__	72
17	ImpavidArcher	66
18	PlasticOtari	52
19	Myszoaz	48
20	fluddd	38
20	Legendosh	38
22	Da_Boss_Rani	36
22	Deathkob	36
24	RoskobiOne	30
24	iHuntWeeaboos	30
26	Sleepy_Time_	24
26	PigDab	24
26	Steelynan	24
26	00000000-0000-0000-0009-01f898304150	24
30	hm947	22
31	pintsizedrogue	16
32	Merv__	14
33	TheSecondLord	12
33	BiggieDawg	12
35	Smashic	10
35	UCP_TheKingK	10
37	Ryker	8
37	Gryglu583	8
39	RatatJuice	6
39	The_Fulgurator	6
39	pixelviolin	6
42	RebelAndroid	4
43	Jiminie	2
43	Soplight	2
