rank	username	minecraft:crafted/minecraft:red_glazed_terracotta
1	QuiCreans	775
2	Lutres_	716
3	HellsSponge	600
4	Lord_Jord	414
5	PazinGaming	256
6	Hyp3rion_	204
7	lordpipe	140
8	luseis	121
9	ImpavidArcher	108
9	oscminus	108
11	Di_infiri	72
11	Krowuss	72
11	hermmm_	72
14	500am	64
14	AnnieBathory	64
14	Quincannon	64
14	Blaiku	64
14	Spacewardharpy7	64
14	Legendosh	64
20	Jackattack53	60
20	hanaryheatwave	60
22	blackeemperor	49
23	emreknugrlu	48
24	rarrq	46
25	noam464	45
26	NameGenerat0r	34
27	Parcc	31
28	Sabby65	26
29	Prismyst	24
29	joethahobo	24
29	Smashic	24
29	Elastiq	24
29	Kowcio_	24
29	EcksD	24
35	AspenLightVT	23
36	YungMaki	22
37	Jimb0nat0r	21
38	Saucepeh	18
39	pixelviolin	17
40	ProfessorBee	16
41	KingMatthew506	14
42	Mr_Byzantine	12
42	himak1	12
42	sp00ky_ghost977	12
45	SaucyDark	8
45	eitanzaki	8
45	Kamflame	8
45	ooga47	8
45	Inbefour	8
45	DemTechAlpha	8
45	StinkyDiplomat	8
45	Gus2005	8
53	starbits140	7
53	Yamdalorian	7
55	PaperCanvas	6
56	beeperbeeper5	2
56	Blu3beast	2
58	Bandito_Roamer	1
58	Crowman1	1
58	Fullut	1
58	CarltheCuck	1
58	Onennon	1
58	ItsDeltaMC	1
58	EngagedGrub41	1
58	ConnorDanky_	1
