rank	username	minecraft:crafted/minecraft:cyan_carpet
1	Swexti	8062
2	Smoke____	4359
3	joethahobo	4179
4	noam464	2694
5	Rumpletaezer	2055
6	Ezekson	1629
7	YungMaki	1582
8	beeperbeeper5	1074
9	heckface	579
10	oxfordschool	517
11	KingMatthew506	436
12	Fullut	399
13	Inbefour	288
14	r123moore	225
15	HellsSponge	204
16	Spacewardharpy7	195
17	pintsizedrogue	144
18	mwrty	141
19	Blu3beast	139
20	RebelAndroid	135
21	Groundler	117
22	ImpavidArcher	111
23	kekhon	102
24	EcksD	99
25	AlphaWolfPlaysMC	96
25	Cocoamallows	96
25	Njensen7	96
25	jnp_gaming	96
29	mariominejedi	93
30	Werbe	81
30	TechnoNinja64	81
32	Steelynan	66
33	Chickenchaser2	60
34	Merv__	57
35	Sral7	48
36	ZeroKraken	45
37	The_slideV3	36
37	Legendosh	36
39	PlasticOtari	33
40	SaucyDark	30
40	Mahoose	30
40	TheSecondLord	30
40	Fildyr	30
44	TheShyPig	27
44	EcksDofficial	27
46	rarrq	24
47	AuroraSkies	21
47	Quotary	21
49	NameGenerat0r	18
50	Cowison	15
50	FishyBoy3811	15
50	Factoroni	15
53	ewpunk	9
54	IWorkAtIkea	6
54	pappaberg	6
54	Deathkob	6
57	Historical_Sand	3
57	titanlax	3
57	bloodbiter	3
57	500am	3
57	cedric72	3
57	lillips	3
57	Blaiku	3
57	Soplight	3
57	lcvezra	3
57	Hermanni__	3
57	Skippeh	3
