rank	username	minecraft:crafted/minecraft:target
1	thewindmillman	349
2	Fuad_R	336
3	noam464	325
4	Awyrlas	279
5	eitanzaki	192
6	pintsizedrogue	180
7	Mahoose	133
8	MangoTheFish	112
8	Eczbek	112
10	EMC_	64
11	Spacewardharpy7	56
12	Di_infiri	55
13	500am	51
14	beeperbeeper5	38
15	tuckerdoodle	28
15	Hyp3rion_	28
17	Smoke____	26
18	oxfordschool	19
19	Deathkob	16
19	Winston_Ingram	16
21	pumpfonzo	14
22	12Magner05	11
23	T045RTY	10
23	Blackberry1310	10
25	SvenskaHugo	8
26	sp00ky_ghost977	7
27	gcaisawesome	6
28	teslawolf38	5
28	PlasticOtari	5
30	r123moore	4
30	Jackattack53	4
32	Nesquiczek	3
32	ImpavidArcher	3
34	Sleek_Storm_721	2
34	RebelAndroid	2
34	Historical_Sand	2
34	M_Patata	2
34	djancak	2
34	Spenduh	2
40	CoffeeNoir	1
40	TheSecondLord	1
40	Fullut	1
40	mwrty	1
40	PigDab	1
40	EveryonesUncle	1
40	Freak_Genius	1
40	censorsheep	1
40	MasterNueve	1
40	pixelviolin	1
40	UCP_TheKingK	1
40	tartanboy	1
40	EcksD	1
40	HesDemonPants	1
