rank	username	minecraft:crafted/minecraft:deepslate_brick_stairs
1	weabis	5992
2	ZoomieZoomie	1752
3	mihimihimihi	1168
4	CattSoup	604
5	Manaateee	596
6	thebaddruid	328
7	lorywithay	282
8	skroobiez	260
9	PazinGaming	228
10	breadbowlgamer	212
10	Fuad_R	212
12	Gzrdy	208
13	olliebollie48	184
14	PaperCanvas	168
14	Kowcio_	168
16	Lez_	132
17	Jimi7hits	112
18	Mattesco	79
19	fragrantmonke444	76
20	thewindmillman	71
21	Mr_Byzantine	55
22	12Magner05	51
23	_Huge_Male_	44
23	00000000-0000-0000-0009-01ff0c3e5e4f	44
25	AstreaTSS	40
25	StinkyDiplomat	40
25	MAns_44	40
28	KGTV	36
28	tsitrawhy	36
30	pixelviolin	34
31	Winklepicker279	32
32	Reneedium	27
33	TheKingK_	25
34	Krowuss	24
35	pintsizedrogue	22
35	Apollo_993	22
37	PlasticOtari	21
38	joethahobo	20
38	Galactic_Badger	20
40	sp00ky_ghost977	17
40	Nicserso	17
42	Admiral_Fizzy	16
42	crashomon	16
44	Hahaa_0	15
44	luseis	15
44	YungMaki	15
47	ScootOfBoot	14
48	Ryker	12
48	CoffeeNoir	12
48	lizardfightclub	12
51	diamondgolem35	9
52	catandmoose	8
52	Solar_Power	8
52	Samificator	8
52	Dakar_	8
52	Ezekson	8
52	Enderxz3	8
58	myaccountwasgone	6
58	CaracolCxnt	6
58	Blackberry1310	6
58	Lord_Doob	6
62	Smashic	5
62	CalebDHawk	5
64	SquadMonster	4
64	drunkeeez	4
64	bubbLyPrototype	4
64	Segotep999	4
64	LeEricc	4
64	TheWickedBird	4
70	beeperbeeper5	2
70	SvenskaHugo	2
70	Yamdalorian	2
73	k_ce	1
73	nattybears	1
73	Jimb0nat0r	1
