rank	username	minecraft:crafted/minecraft:lantern
1	beeperbeeper5	16462
2	pintsizedrogue	16397
3	EveryonesUncle	2631
4	thewindmillman	2524
5	HellsSponge	2332
6	Merv__	1941
7	Mahoose	1788
8	Smoke____	1749
9	500am	1551
10	m_be9	1528
11	joethahobo	1244
12	KingMatthew506	1221
13	r123moore	1218
14	_Dean_123	1142
15	Shogunite	1138
16	Freak_Genius	1101
17	TheShyPig	1086
18	Werbe	990
19	Steelynan	966
20	TheSecondLord	949
21	PlasticOtari	884
22	Eraxa	855
23	Akoot_	819
24	Inchef	786
25	PigDab	767
26	xxPipperDipperxx	736
27	Lord_Jord	707
28	Onennon	654
29	Legendosh	637
30	Di_infiri	628
31	WyngGoy	626
32	eitanzaki	619
33	rarrq	605
34	Skylord_Luke	568
35	KarlKaek	535
36	YungMaki	529
37	EMC_	508
38	Ezekson	498
39	Hyp3rion_	486
40	kekhon	484
41	Skippeh	475
42	noam464	465
43	Soplight	450
44	Enderslayerxz3	446
45	jnp_gaming	441
46	CoffeeNoir	423
47	Fullut	421
48	Dedalus36	411
49	jacxhadow	395
50	oxfordschool	392
51	SaucyDark	351
52	Dusk_95	346
53	Historical_Sand	340
53	Airem_Core	340
55	pixelviolin	331
56	Nicserso	328
57	ROY4LE	324
57	EcksDofficial	324
59	XxCookiequeenxX	323
60	Marbz_	322
61	SkateboardR6	317
62	Jiminie	313
63	set67	309
64	_stets	308
65	Snowflowe	307
66	titanlax	298
67	Hoid_the_Roamer	293
68	Kubelz	290
69	Kakolbus	277
70	Blackberry1310	276
71	Stiar	254
71	ApophisNova	254
71	MyNamaSheff	254
74	thescout7	252
75	Jackattack53	248
76	diamondgolem35	247
77	lordpipe	245
78	fffMike	240
79	RedcatVII	235
80	ImpavidArcher	234
81	Rumpletaezer	233
82	2Stout	226
83	Bumpy419	224
84	wwwwinnebagoooo	222
85	DanTheBuilderino	206
86	SvenskaHugo	201
87	Frozil12	197
88	wezzzi	196
89	Lutres_Torane	194
89	lcvezra	194
91	Xclax101	193
92	fred870d	192
93	Racengan	185
93	TechnoNinja64	185
95	yulgur1	183
96	RebelAndroid	182
97	Malorn_Aetherius	179
97	Maenara	179
99	Sky_light_KING	178
100	PhantomsGhost_	177
101	Hermanni__	176
102	KeruNatsema	170
103	Groovy_MoonBird	166
104	Ssor69	165
105	Ecplosive	163
105	AlphaWolfPlaysMC	163
105	SingedBread	163
108	2blox	162
109	Deathkob	158
110	The_Quack_Dealer	156
111	Fildyr	153
112	Kowcio_	150
113	stellarjay	149
114	killmeiamtraitor	147
115	MyNameIsJobo	146
116	chipklip	145
117	BlancoFlaco	140
117	pappaberg	140
119	RatatJuice	138
120	Chromary	136
121	Ryker	133
122	selectrix	128
122	SammiWolfGirl	128
122	YoshikageBites	128
125	Hiryu27	126
126	djancak	125
127	fkGrim	124
127	MyNameIsDakar	124
129	Mr_Byzantine	122
130	Jimi7hits	121
131	RefluxRatio	118
132	CharlieButt	117
132	Fuhrer_Teemo	117
134	M_Patata	114
134	MasterNueve	114
136	Tommhh	112
137	mwrty	109
137	toj__	109
139	Voxin2K	108
140	RoskobiOne	107
140	__tomato	107
142	6king6colt6	103
142	Smashic	103
142	burbankbuilder28	103
145	Cowison	102
145	Zythose	102
147	Notta	97
148	teslawolf38	95
148	IdeallyGrey	95
150	RyuNeko932000	94
151	BlueZabu	92
152	_Bguette_	91
152	Factoroni	91
154	eviltunix	90
154	UrbanPlanner1978	90
156	Arceus1975	88
157	dudcreeper	87
157	Meatlaugh	87
159	sp00ky_ghost977	86
160	Dogcorn69420	85
161	MilleGrug	84
162	Karetoko	81
162	SlayerCrypto	81
162	MAns_44	81
165	_Razar	80
166	PegLegPete93	79
166	Shiirazuku	79
168	NoChumpChange	76
169	MinttyFressh	75
169	SteveCraftBlocks	75
171	anbbang	74
172	Syropatathe	72
172	Quotary	72
174	Matek_	71
175	Cryptacity	70
175	John6970	70
177	DC_XII	69
177	ewpunk	69
179	Xovalt_	66
179	Western_1	66
181	Bandito_Roamer	65
181	LotusProject	65
183	Tobinator_007	64
183	El_Jalapeno	64
185	Spacewardharpy7	63
186	JESS_THE_RERE	62
187	bloodbiter	61
187	UCP_TheKingK	61
189	G1ldor	60
190	avalan64	58
190	the__Reaper4999	58
192	Doom_melon	57
193	RodSerlingCringe	56
193	_Karmaa	56
195	AuroraValkyrie	54
195	UncreativeArtist	54
197	cedric72	53
198	Iagoku	52
198	ZeroKraken	52
200	Sleek_Storm_721	51
200	Toriankel	51
202	IWorkAtIkea	50
202	KlausVonStiglitz	50
202	Typadopoulos	50
202	MovingFish7	50
206	SDMNAEK	49
207	godipose	45
208	Optiprimus	44
209	livingdaydreams	43
209	H72l9w	43
209	BlankityMcBlank	43
209	WYFYoyo	43
213	Foof13	41
213	Cortexia	41
213	Razzgriz	41
216	TheDankPlatypus	40
216	Wowful	40
216	CalebDHawk	40
219	Tolhart	39
219	12Magner05	39
219	Njensen7	39
222	hm947	38
222	ehunt54	38
222	_TCARREIRA_	38
222	JohnPrice	38
226	Matemaks2137	37
226	TableTim	37
226	stahouo	37
229	rachcl	36
229	Jackster03	36
229	ChillenChiggen	36
229	Lowjinx	36
229	Powowowow	36
234	slkiey	35
234	Solar_Power	35
234	Inbefour	35
234	Blaiku	35
234	Groundler	35
234	_Tilariel_	35
240	weezygator	34
240	_NieToksikpl_	34
240	starbits140	34
240	PortlyPete69	34
244	tramizu	33
244	SuperPooch06	33
244	adiccting01	33
247	Hpdinosaur	32
247	Ardennes	32
247	NYJ	32
247	HesDemonPants	32
251	zorin123	30
251	redikul	30
251	Motsaro	30
251	purpolepickle	30
251	PlzNoBM	30
251	cichy096	30
257	KingFaenor	29
257	ChampPog_	29
257	Ozixar	29
257	ooga47	29
257	CarryLine	29
257	Deerfoot	29
257	yatsuta	29
264	Drlzyy	28
264	CSG_Haru	28
264	Kubeusz2010	28
264	Erased_Identity	28
268	AlazelTheReal	27
268	Da_Boss_Rani	27
268	mariominejedi	27
268	Jiminbub	27
272	Windo_licker	26
272	EfficientC52	26
272	mawileite	26
275	Froste131	25
275	Zedducius	25
275	Zielo2017PL	25
275	Barlycorn	25
275	_3Stump_	25
275	diggydog67	25
281	ColeSnyder	24
281	awesomeoneme	24
281	emrekn	24
281	gcaisawesome	24
281	AmbroseForLife	24
281	_Boipl_	24
281	MinuteMira	24
281	ItsDeltaMC	24
281	Kijiki	24
290	Paleshield	23
290	SellyZ	23
290	seramalen	23
290	ADEXTV	23
290	potatocan	23
295	q_wq	22
295	Rich_Kat	22
295	BilboBaggins23	22
295	AJplaysMC_	22
295	Rocco_Lane	22
295	TheSeismicDuck	22
