rank	username	minecraft:crafted/minecraft:smooth_quartz
1	Deerfoot	10408
2	lordpipe	8010
3	wwwwinnebagoooo	6612
4	AltnumberF4	2509
5	Lutres_Torane	2450
6	NameGenerat0r	2121
7	Blaiku	2048
8	cedric72	1477
9	UltraZombie	1391
10	EcksDofficial	1360
11	TheSecondLord	1243
12	Rocco_Lane	1119
13	kekhon	1055
14	EveryonesUncle	896
15	Snowflowe	862
16	fluddd	751
17	ApophisNova	711
17	MyNamaSheff	711
19	MakeHistory157	693
20	jnp_gaming	684
21	beeperbeeper5	665
22	m_be9	637
23	himak1	614
24	Frozil12	544
25	_Karmaa	514
26	pintsizedrogue	510
27	Freak_Genius	506
28	oxfordschool	464
29	Blackberry1310	414
30	SammiWolfGirl	393
31	Spacewardharpy7	362
32	LexMakesHistory	320
32	The_slideV3	320
34	ImpavidArcher	288
34	lillips	288
36	Mahoose	256
37	JitteryJared2	245
38	M_Patata	239
38	MasterNueve	239
40	500am	220
41	Smashic	206
42	EfficientC52	205
43	stavgod	188
44	RodSerlingCringe	132
45	corvidpartyfor6	118
46	Eraxa	111
47	Kubeusz2010	109
48	theonlymagikarp	106
49	Akoot_	93
50	h2p_emrld	88
51	noam464	79
52	ooga47	76
53	Cowison	72
54	Smoke____	67
55	MAns_44	66
56	eitanzaki	64
56	NomadicRobin_	64
56	The_SlideV5	64
59	Fullut	61
60	KingMatthew506	43
61	rarrq	40
62	Ezekson	36
63	Arceus1975	32
64	Prismyst	21
65	HellsSponge	19
66	YungMaki	18
67	Myszoaz	16
68	RobotMinion101	14
69	Onennon	12
70	Enderslayerxz3	10
71	SingedBread	8
72	AJplaysMC_	6
73	UCP_TheKingK	4
74	awesomeoneme	2
74	_Dean_123	2
74	LotusProject	2
74	RohnJosin	2
74	Blu3beast	2
74	CalebDHawk	2
80	MyNameIsJobo	1
80	Zythose	1
80	FishyBoy3811	1
80	dezxalo	1
80	mobunni	1
